,recipient_name_clean,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year
25,acg systems,811354.3,811354.3,21.0,6.833333333333332,5593666.666666667,1.0,ACG SYSTEMS INC,,SMALL BUSINESS,2008
26,action facilities management,20590.0,20590.0,2.0,51.0,1700000.0,1.0,"ACTION FACILITIES MANAGEMENT, INC.",,SMALL BUSINESS,2008
27,actuarial research,489182.0,489182.0,1.0,21.0,3395810.0,1.0,ACTUARIAL RESEARCH CORPORATION,,SMALL BUSINESS,2008
28,adams and associates,72831203.0,102738236.0,1.0,1420.0,80000000.0,1.0,ADAMS AND ASSOCIATES  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
29,adaptive methods,99927.7,99928.0,3.0,73.0,11000000.0,1.0,ADAPTIVE METHODS  INC.,,SMALL BUSINESS,2008
30,addx,40359247.64,40381955.84,124.0,29.0,4401161.904761904,1.0,ADDX CORPORATION,,OTHER THAN SMALL BUSINESS,2008
31,adelante development center,210357.96,349948.4,1.0,475.0,5608842.0,1.0,ADELANTE DEVELOPMENT CENTER  INC.,,SMALL BUSINESS,2008
32,adorama,219915.02,219915.02,25479.0,47.23214285714286,20833333.33333333,1.0,ADORAMA INC.,,SMALL BUSINESS,2008
33,advanced acoustic concepts,26270545.0,58770784.0,5.0,200.0,26914780.0,1.0,ADVANCED ACOUSTIC CONCEPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
34,advanced c4 solutions,9967.0,9967.0,4.0,65.0,0.0,1.0,ADVANCED C4 SOLUTIONS  INC.,,SMALL BUSINESS,2008
35,advanced concepts technologies,2400000.0,2400000.0,1.0,53.0,4500000.0,1.0,ADVANCED CONCEPTS & TECHNOLOGIES INTERNATIONAL LLC,OTHER,SMALL BUSINESS,2008
36,advanced programs,7671043.01,7671043.01,1074.0,50.0,15000000.0,1.0,ADVANCED PROGRAMS  INC.,,SMALL BUSINESS,2008
37,advanced systems development,48852706.27,65661991.27,451.0,37.714285714285715,2008918.2857142857,1.0,ADVANCED SYSTEMS DEVELOPMENT  INC.,,SMALL BUSINESS,2008
38,advanced systems technology incorporated,1649990.4899999998,1649990.4899999998,59.0,132.57142857142858,8058407.428571427,1.0,"ADVANCED SYSTEMS TECHNOLOGY, INCORPORATED",,SMALL BUSINESS,2008
39,advanced technology,23262092.0,63262092.0,7.0,75.0,20976250.0,1.0,ADVANCED TECHNOLOGY INTERNATIONAL,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
40,advanced technology research,88745.0,88745.0,22.0,50.0,10503330.0,1.0,ADVANCED TECHNOLOGY & RESEARCH CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
41,advantage sci,1030918.8,1030918.8,6.0,8.375,428446.25,1.0,ADVANTAGE SCI  LLC,OTHER,SMALL BUSINESS,2008
42,advantaged solutions,2075717.78,2472077.78,9.0,2.0,10000.0,1.0,ADVANTAGED SOLUTIONS  INC.,,SMALL BUSINESS,2008
43,aea pte,11740604.46,11740604.46,2.0,0.0,0.0,1.0,AEA INTERNATIONAL HOLDINGS PTE. LTD.,,OTHER THAN SMALL BUSINESS,2008
44,aecom technology,147627310.42000002,3148708615.7200003,2334.0,6160.652740044393,742628704.6608435,1.0,AECOM TECHNOLOGY CORPORATION,,OTHER THAN SMALL BUSINESS,2008
45,aero tech service associates,2431200.0,2431200.0,25.0,110.0,9610480.0,1.0,AERO TECH SERVICE ASSOCIATES  INC.,,SMALL BUSINESS,2008
46,aerometric,94922.0,94922.0,15.0,295.0,40000000.0,1.0,AERO-METRIC  INC.,,OTHER THAN SMALL BUSINESS,2008
47,aeroplate,4028301.0,4028301.0,9.0,10.0,3400000.0,1.0,AEROPLATE CORP.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
48,aerospace engineering spectrum,13687773.65,14387850.65,15.0,12.333333333333336,1800000.0,1.0,AEROSPACE ENGINEERING SPECTRUM LTD,,SMALL BUSINESS,2008
49,aerovironment,14196354.0,14989390.0,225.0,494.6363636363636,92818181.8181818,1.0,"AEROVIRONMENT, INC.",,SMALL BUSINESS,2008
50,aes systems,15185267.76,15185267.76,4.0,26.0,3800000.0,1.0,AES SYSTEMS  INC.,,SMALL BUSINESS,2008
51,aey,48507777.84,48507777.84,20.0,2.0,2000000.0,1.0,"AEY, INC.",,SMALL BUSINESS,2008
52,affordable engineering services,240737.7,240737.7,0.0,48.0,2066000.0,1.0,AFFORDABLE ENGINEERING SERVICES LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
53,afg,1081189.28,1081189.28,1.0,30.0,3000000.0,1.0,AFG GROUP INC.,,SMALL BUSINESS,2008
54,afognak native,465484963.56000006,1040796125.96,430.0,490.9336284707541,17866997.499678403,1.0,AFOGNAK NATIVE CORPORATION,,SMALL BUSINESS,2008
55,agate steel,1832400.0,1832400.0,4.0,50.0,28.0,1.0,AGATE STEEL  INC.,,SMALL BUSINESS,2008
56,agfa gevaert nv,138747.0,138747.0,1.0,3200.0,1200000000.0,1.0,AGFA GEVAERT NV,,OTHER THAN SMALL BUSINESS,2008
57,agilent technologies,18957596.42,29180237.62,79.0,12240.16875999817,2562036014.007299,1.0,AGILENT TECHNOLOGIES  INC.,,OTHER THAN SMALL BUSINESS,2008
58,agri beef,42367397.81999999,70121018.37,72.0,528.4785714285714,28.680952380952377,1.0,AGRI BEEF CO.,,OTHER THAN SMALL BUSINESS,2008
59,agviqch2m hill joint venture iii,140571.0,140571.0,13.0,1.0,1.0,1.0,AGVIQ-CH2M HILL JOINT VENTURE III,,SMALL BUSINESS,2008
60,ahtna incorporated,6566190.78,6566190.78,5.0,194.0,11.0,1.0,AHTNA  INCORPORATED,,SMALL BUSINESS,2008
61,ai signal research,827414381.0,827414381.0,204.0,225.452380952381,15466666.666666668,1.0,AI SIGNAL RESEARCH  INC.,,SMALL BUSINESS,2008
62,ains,196859.46,196859.46,3.0,85.0,4031130.0,1.0,AINS  INC.,,SMALL BUSINESS,2008
63,air products and chemicals,1103029.42,10591181.44,50.0,12572.625,2002500003.65,1.0,AIR PRODUCTS AND CHEMICALS  INC.,,OTHER THAN SMALL BUSINESS,2008
64,airgas,175872.56,295872.55999999994,21.0,7914.408333333334,1491666675.8,1.0,"AIRGAS, INC.",,OTHER THAN SMALL BUSINESS,2008
65,airtronics,226852.0,226852.0,28.0,35.0,14000000.0,1.0,AIRTRONICS  INC.,,SMALL BUSINESS,2008
66,ais engineering,343707.69,0.0,250.0,24.0,13667239.0,1.0,"AIS ENGINEERING, INC.",,SMALL BUSINESS,2008
67,akal security,12524800.29,12524800.29,124.0,5702.121365787694,203228176.6193374,1.0,"AKAL SECURITY, INC.",,OTHER THAN SMALL BUSINESS,2008
68,alaire technologies,5823096.0,5823096.0,1.0,3.0,50000.0,1.0,ALAIRE TECHNOLOGIES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
69,alaka i consulting engineering,22720320.0,22720320.0,2997.0,5.0,500000.0,1.0,ALAKA I CONSULTING & ENGINEERING  INC.,,SMALL BUSINESS,2008
70,alamo city constructors,38921.0,38921.0,6.0,6.0,1000000.0,1.0,ALAMO CITY CONSTRUCTORS  INC.,,SMALL BUSINESS,2008
71,alan shintani,1589692.0,1589692.0,46.0,10.833333333333336,17000000.0,1.0,ALAN SHINTANI INC.,,SMALL BUSINESS,2008
72,alatec,3643440.4100000006,3643440.4100000006,20.0,12.0,1500000.0,1.0,ALATEC  INC.,,SMALL BUSINESS,2008
73,alcatel lucent,73363446.18,73764177.38,50.0,4096.666666666666,54333345.86666666,1.0,ALCATEL LUCENT,,OTHER THAN SMALL BUSINESS,2008
74,alder foods,42384439.87000001,476538343.55,63.0,9.46078431372549,7461504.76732026,1.0,ALDER FOODS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
75,aleut communications services,390570.55,390570.55,1.0,45.0,3846982.0,1.0,ALEUT COMMUNICATIONS SERVICES  LLC,SOLE PROPRIETORSHIP,SMALL BUSINESS,2008
76,alion science and technology,302152102.99,302292221.99,1929.0,1530.577123370936,618769164.2721385,1.0,ALION SCIENCE AND TECHNOLOGY CORPORATION,,SMALL BUSINESS,2008
77,allegheny energy,92514366.98000002,92514366.98000002,5.0,4125.909090909091,365126009.6146104,1.0,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008
78,allen america,31610351.21,31610351.21,45.0,92.66666666666669,1.0833333333333333,1.0,ALLEN CORPORATION OF AMERICA  INC.,,SMALL BUSINESS,2008
79,allen engineering contractor,243733.51,3743733.51,27.0,165.83333333333331,7300010.0,1.0,ALLEN ENGINEERING CONTRACTOR  INC.,OTHER,SMALL BUSINESS,2008
80,allen wright enterprises inchamps construction joint venture,37913540.46,37913540.46,12.0,30.0,5000000.0,1.0,ALLEN WRIGHT ENTERPRISES INC/HAMP'S CONSTRUCTION LLC : A JOINT VENTURE,,SMALL BUSINESS,2008
81,alliance technical services,1479222.3,1479222.3,6.0,65.0,4100000.0,1.0,ALLIANCE TECHNICAL SERVICES  INC.,,SMALL BUSINESS,2008
82,alliance technology,13039.0,13039.0,9.0,30.0,18000000.0,1.0,"ALLIANCE TECHNOLOGY GROUP, LLC",,SMALL BUSINESS,2008
83,alliant enterprises,47986.82,47986.82,6.0,25.0,400000.0,1.0,ALLIANT ENTERPRISES  LLC,,SMALL BUSINESS,2008
84,alliant techsystems,93569924297.26,93567634295.26,290.0,6761.05889540567,1452678125.0036495,1.0,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2008
85,allied container systems incorporated,1021707.24,1021707.24,1025.0,52.5,14166666.666666668,1.0,ALLIED CONTAINER SYSTEMS  INCORPORATED,OTHER,SMALL BUSINESS,2008
86,allied defense industries,89334.6,89334.6,6.0,12.5,3000000.0,1.0,ALLIED DEFENSE INDUSTRIES INC.,SOLE PROPRIETORSHIP,SMALL BUSINESS,2008
87,allied pacific builders,639969.0,639969.0,32.0,16.666666666666668,3633333.333333334,1.0,"ALLIED PACIFIC BUILDERS, INC.",,OTHER THAN SMALL BUSINESS,2008
88,allied technologies consulting,126594.0,126594.0,3.0,48.0,4900000.0,1.0,ALLIED TECHNOLOGIES & CONSULTING  LLC,PARTNERSHIP,SMALL BUSINESS,2008
89,allison transmission,188268112.93,626216894.1500001,12.0,3000.0,2000000000.0,1.0,ALLISON TRANSMISSION  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
90,alltranspack,81489122.27999999,81489122.27999999,36.0,12.0,1200000.0,1.0,ALLTRANSPACK  INC.,,SMALL BUSINESS,2008
91,alpha technology associate,75608.44,75608.44,12.0,15.0,550000.0,1.0,ALPHA TECHNOLOGY ASSOCIATE INC.,,SMALL BUSINESS,2008
92,alphaomega change engineering,533069.12,1403638.0,7.0,47.0,5222500.0,1.0,ALPHA-OMEGA CHANGE ENGINEERING  INC.,,SMALL BUSINESS,2008
93,altarum institute,34230657.96,40851366.07,78.0,49.53787878787879,7106341.991341991,1.0,ALTARUM INSTITUTE,,OTHER THAN SMALL BUSINESS,2008
94,altegrity,1151021.46,1151021.46,2.0,1122.375,675143103.5,1.0,ALTEGRITY  INC.,,OTHER THAN SMALL BUSINESS,2008
95,amec,56110364.5,56110364.5,1011.0,1221.3084529505584,206055557.21967041,1.0,AMEC PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
96,ameresco,2748672.64,2748672.64,3.0,0.0,0.0,1.0,AMERESCO  INC.,,OTHER THAN SMALL BUSINESS,2008
97,american,17480.559999999998,17480.559999999998,3.0,553.5,221073104.75,1.0,AMERICAN INTERNATIONAL GROUP  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
98,american bureau shipping,1091629.88,1091629.88,23.0,866.0555555555558,159116068.6222222,1.0,AMERICAN BUREAU OF SHIPPING INC,CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
99,american college medical genetics foundation,21470475.42,25098758.42,1.0,7.0,2500000.0,1.0,AMERICAN COLLEGE OF MEDICAL GENETICS FOUNDATION  INC.,,OTHER THAN SMALL BUSINESS,2008
100,american growler,15645.0,15645.0,1.0,70.0,1139373.0,1.0,AMERICAN GROWLER INC,,SMALL BUSINESS,2008
101,american institutes research in behavioral sciences,15495823.560000002,15495992.560000002,97.0,699.947619047619,76764757.84126985,1.0,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,,OTHER THAN SMALL BUSINESS,2008
102,american k9 detection services,53493.2,53493.2,6.0,40.0,7000000.0,1.0,AMERICAN K-9 DETECTION SERVICES  INC.,,SMALL BUSINESS,2008
103,american maritime,16885046.48,16885046.48,84.0,405.3047619047619,50379913.14285715,1.0,AMERICAN MARITIME HOLDINGS  INC.,,SMALL BUSINESS,2008
104,american material handling,2134499.02,2134499.02,114.0,7.0,10000000.0,1.0,AMERICAN MATERIAL HANDLING  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
105,american mechanical,15362236.0,15362236.0,4.0,0.0,18000000.0,1.0,AMERICAN MECHANICAL INC,,SMALL BUSINESS,2008
106,american national red cross,600.0,600.0,1.0,110.0,14557076.0,1.0,AMERICAN NATIONAL RED CROSS,,OTHER THAN SMALL BUSINESS,2008
107,american ordnance,182503.98,182503.98,4.0,1300.5,164500000.0,1.0,AMERICAN ORDNANCE LLC,,OTHER THAN SMALL BUSINESS,2008
108,american purchasing services,72640.4,72640.4,2.0,54.5,8500000.5,1.0,AMERICAN PURCHASING SERVICES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
109,american security programs,182834686.47000003,183784686.47000003,1055.0,350.0,6500000.0,1.0,AMERICAN SECURITY PROGRAMS  INC,,OTHER THAN SMALL BUSINESS,2008
110,american society engineering education,1301994.98,1301994.98,2.0,0.0,0.0,1.0,AMERICAN SOCIETY FOR ENGINEERING EDUCATION (INC),,OTHER THAN SMALL BUSINESS,2008
111,american systems,5958003.62,1502165.62,41.0,624.5,191441464.0,1.0,AMERICAN SYSTEMS CORPORATION,,OTHER THAN SMALL BUSINESS,2008
112,american type culture collection,584430.0,13314430.0,2.0,325.0,76000000.0,1.0,AMERICAN TYPE CULTURE COLLECTION INC,,OTHER THAN SMALL BUSINESS,2008
113,american water works,147492.29,153817.28,3.0,5262.5,943947878.75,1.0,AMERICAN WATER WORKS COMPANY  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
114,americas staffing partner,76768.0,76768.0,2.0,2.0,50000.0,1.0,AMERICA'S STAFFING PARTNER  INC.,,SMALL BUSINESS,2008
115,amerigas partners lp,790393.96,790393.96,9.0,1250.0,250000000.0,1.0,AMERIGAS PARTNERS  L.P.,,OTHER THAN SMALL BUSINESS,2008
116,amerisourcebergen,167132445.0,167937209.2,42566.0,1107.1080006570496,275188.93645387265,1.0,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2008
117,ametek,1751747.0,1757720.0,19.0,6870.437037037037,354874081.3333333,1.0,AMETEK  INC.,,OTHER THAN SMALL BUSINESS,2008
118,amn healthcare services,4162027.75,4839097.75,82.0,80.0,70000000.0,1.0,AMN HEALTHCARE SERVICES  INC.,,OTHER THAN SMALL BUSINESS,2008
119,amyx,194017.67,194017.67,3.0,30.0,1600000.0,1.0,AMYX  INC.,,SMALL BUSINESS,2008
120,analytic services,26858305.18,28978720.23,764.0,125.00351841141314,8056863.677100444,1.0,ANALYTIC SERVICES INC.,,OTHER THAN SMALL BUSINESS,2008
121,analytical graphics,70711.0,70711.0,1.0,0.0,0.0,1.0,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2008
122,angel staffing incorporated,134127.95,395241.15,1.0,250.0,3450000.0,1.0,ANGEL STAFFING INCORPORATED,,SMALL BUSINESS,2008
123,annams systems,27342055.690000005,27370153.690000005,54.0,3.6764705882352944,698382.3529411765,1.0,ANNAMS SYSTEMS CORPORATION,,SMALL BUSINESS,2008
124,aoc solutions,89350.0,89350.0,5.0,58.5,4232723.25,1.0,AOC SOLUTIONS INC,,SMALL BUSINESS,2008
125,api,7002.0,7002.0,0.0,43.33333333333334,7333333.333333332,1.0,API GROUP  INC.,,SMALL BUSINESS,2008
126,appleton marine,28336.0,28336.0,2.0,32.0,18000000.0,1.0,APPLETON MARINE  INC.,,SMALL BUSINESS,2008
127,applied optimization,2397888.0,2397888.0,4.0,0.0,0.0,1.0,APPLIED OPTIMIZATION INC,,SMALL BUSINESS,2008
128,applied physical sciences,169977.58000000002,199976.0,4.0,25.0,3000000.0,1.0,APPLIED PHYSICAL SCIENCES CORP.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
129,applied research associates,50412758.5,62098142.17999999,433.0,938.452972027972,180371611.73592076,1.0,"APPLIED RESEARCH ASSOCIATES, INC.",,OTHER THAN SMALL BUSINESS,2008
130,applied technology,19783157.05,19783157.05,6.0,5.0,1750000.0,1.0,APPLIED TECHNOLOGY  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
131,apptis,17752239.729999997,17752239.729999997,1052.0,1792.142361111111,558365363.4444443,1.0,APPTIS HOLDINGS  INC.,,OTHER THAN SMALL BUSINESS,2008
132,apt research,514737.0,514737.0,1.0,75.0,8900000.0,1.0,A-P-T RESEARCH  INC.,,SMALL BUSINESS,2008
133,aquachem,616970.85,616970.85,17.0,157.66666666666669,40666666.66666667,1.0,AQUA-CHEM  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
134,aramark,16631.91,4948631.909999998,10.0,4590.0,101666668.0,1.0,ARAMARK HOLDINGS CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
135,arc virginia peninsula,3003511.1,13405832.15,3.0,203.25,3172007.0,1.0,THE ARC OF THE VIRGINIA PENINSULA INC,CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
136,arcadis nv,11441234.0,12948495.0,1072.0,954.025,130727130.05,1.0,ARCADIS N.V.,,OTHER THAN SMALL BUSINESS,2008
137,arctic slope regional,19928637.72,19928637.72,2568.0,208.46177107206518,99462152.76564808,1.0,ARCTIC SLOPE REGIONAL CORPORATION,,SMALL BUSINESS,2008
138,arete associates,21144234.01,21389234.01,2187.0,185.33333333333331,40000000.333333336,1.0,ARETE ASSOCIATES,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
139,argon office supplies,872336.7499999999,872336.7499999999,73174.0,9.856984478935699,1542904.6563192904,1.0,ARGON OFFICE SUPPLIES,,SMALL BUSINESS,2008
140,argos therapeutics,77452389.82,77452389.82,24.0,80.0,8700000.0,1.0,ARGOS THERAPEUTICS  INC.,,SMALL BUSINESS,2008
141,armed forces services,4050057.2,4050057.33,1.0,25.0,3500000.0,1.0,ARMED FORCES SERVICES CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
142,armorworks enterprises,5600875.87,5600875.87,21.0,275.0,100000000.0,1.0,ARMORWORKS ENTERPRISES  LLC,PARTNERSHIP,SMALL BUSINESS,2008
143,arnold defense and electronics,4877424.0,4877424.0,10.0,0.0,0.0,1.0,ARNOLD DEFENSE AND ELECTRONICS  LLC,,SMALL BUSINESS,2008
144,arora,4841705.09,4841705.09,5.0,0.0,0.0,1.0,ARORA GROUP  INC.  THE,,SMALL BUSINESS,2008
145,arotech,393875.0,393875.0,17.0,191.66666666666663,30375000.0,1.0,AROTECH CORPORATION,,SMALL BUSINESS,2008
146,array information technology,2159026.94,2159026.94,2.0,39.0,3570462.0,1.0,ARRAY INFORMATION TECHNOLOGY  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
147,arriba,56459.0,56459.0,1.0,25.0,7900000.0,1.0,ARRIBA CORPORATION,,SMALL BUSINESS,2008
148,arrow electronics,25480.7,25480.7,21.0,476.4,856283333.4166666,1.0,"ARROW ELECTRONICS, INC.",,SMALL BUSINESS,2008
149,arrowhead realty,1067008.0,1067008.0,2.0,0.0,0.0,1.0,ARROWHEAD REALTY CORP,,SMALL BUSINESS,2008
150,arthrex,68485.0,68485.0,2.0,237.5,440000000.0,1.0,ARTHREX  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
151,asi government,3638852.31,3638852.31,11.0,137.00740740740738,7724799.62962963,1.0,"ASI GOVERNMENT, INC",,SMALL BUSINESS,2008
152,aspect software,10000.0,10000.0,1.0,500.0,39000000.0,1.0,ASPECT SOFTWARE  INC.,,SMALL BUSINESS,2008
153,asrc gulf states constructors,133925973.18,170557240.18,1.0,4.0,428462.0,1.0,ASRC GULF STATES CONSTRUCTORS,,SMALL BUSINESS,2008
154,asset,4793140.08,4793140.08,3.0,45.0,10000000.0,1.0,ASSET GROUP INC.,,SMALL BUSINESS,2008
155,associated press,7281054.190000001,7691444.689999999,45.0,1550.9615384615383,37509706.41666666,1.0,THE ASSOCIATED PRESS,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
156,assurance technology,1445349166.88,1445349166.88,21.0,228.8333333333333,5022005.5,1.0,ASSURANCE TECHNOLOGY CORP,,OTHER THAN SMALL BUSINESS,2008
157,astin lp,4361968.18,4361968.18,635.0,136.5,12833162.5,1.0,ASTIN HOLDINGS  L.P.,,SMALL BUSINESS,2008
158,astronics,277120.0,277120.0,5.0,338.125,48675000.0,1.0,ASTRONICS CORPORATION,,SMALL BUSINESS,2008
159,ata aerospace,35334012.9,35334012.9,36.0,30.0,5000000.0,1.0,ATA AEROSPACE  LLC,,SMALL BUSINESS,2008
160,ata services,187300.03,749292.97,5.0,196.8,9583438.6,1.0,ATA SERVICES INC,,SMALL BUSINESS,2008
161,atap,228726.51,228726.51,3.0,146.0,19000000.0,1.0,ATAP  INC.,,SMALL BUSINESS,2008
162,atech,211318.57,211318.57,3.0,24.0,2833333.333333333,1.0,A-TECH CORPORATION,,SMALL BUSINESS,2008
163,atek,128419171.09,128489171.16,7.0,15.0,5640408.0,1.0,A-TEK INC,,SMALL BUSINESS,2008
164,atlantic contingency constructors,73443195.0,73443195.0,15.0,25000.0,4000000000.0,1.0,ATLANTIC CONTINGENCY CONSTRUCTORS  LLC,,OTHER THAN SMALL BUSINESS,2008
165,atlantic diving supply,4712150.1,4712150.1,150.0,93.27822843822844,159978865.5788656,1.0,ATLANTIC DIVING SUPPLY  INC.,,OTHER THAN SMALL BUSINESS,2008
166,atlas technologies,9840083.580000002,52280819.36,66.0,6.8307692307692305,0.0,1.0,ATLAS TECHNOLOGIES  INC.,,SMALL BUSINESS,2008
167,ats,274539774.40000004,274539778.0,21.0,680.0,108000000.0,1.0,ATS CORPORATION,,SMALL BUSINESS,2008
168,att,16463392254.800003,16463543280.530003,3636.0,33189.15610214186,59161533669.41163,1.0,AT&T INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
169,august schell enterprises,34291.84,34291.84,3.0,32.5,15600000.0,1.0,AUGUST SCHELL ENTERPRISES  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
170,ausgar technologies,73144.0,73144.0,150.0,8.333333333333332,1516666.6666666663,1.0,"AUSGAR TECHNOLOGIES, INC.",,SMALL BUSINESS,2008
171,avineon,246555.0,246555.0,145.0,125.25,5297020.25,1.0,AVINEON  INC.,,SMALL BUSINESS,2008
172,avion solutions,22208778.450000007,907273788.45,2003.0,83.0,6000000.0,1.0,AVION SOLUTIONS INC.,,SMALL BUSINESS,2008
