,t1,t2,score
31932632,"HORNBECK OFFSHORE SERVICES, INC.",HORNBECK OFFSHORE SERVICES,0.1875
15196094,HORNBECK OFFSHORE SERVICES  INC.,HORNBECK OFFSHORE SERVICES,0.1875
13758474,ROCHE HOLDING AG,ROCHE HOLDINGS,0.1875
900107,ADVANCED ACOUSTIC CONCEPTS  INC.,ADVANCED ACOUSTIC CONCEPTS,0.1875
15361156,COMTECH TELECOMMUNICATIONS CORP.,COMTECH TELECOMMUNICATIONS,0.1875
26664370,ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL,0.19047619
21327219,PALANTIR TECHNOLOGIES INC.,PALANTIR TECHNOLOGIES,0.192307692
13056973,EMERGENT BIOSOLUTIONS INC.,EMERGENT BIOSOLUTIONS,0.192307692
1168943,"MANAGEMENT SERVICES GROUP, INC.",MANAGEMENT SERVICES GROUP,0.193548387
25354332,EPSILON SYSTEMS SOLUTIONS  INC.,EPSILON SYSTEMS SOLUTIONS,0.193548387
34777466,MANAGEMENT SERVICES GROUP  INC.,MANAGEMENT SERVICES GROUP,0.193548387
25562401,MAXIM HEALTHCARE SERVICES  INC.,MAXIM HEALTHCARE SERVICES,0.193548387
21785598,"EPSILON SYSTEMS SOLUTIONS, INC.",EPSILON SYSTEMS SOLUTIONS,0.193548387
26793202,"MAXIM HEALTHCARE SERVICES, INC.",MAXIM HEALTHCARE SERVICES,0.193548387
7290822,DAIRY FARMERS OF AMERICA  INC.,DAIRY FARMERS OF AMERICA,0.2
17413877,PRUDENTIAL FINANCIAL INC.,PRUDENTIAL FINANCIAL,0.2
11319500,MAGELLAN HEALTH SERVICES  INC.,MAGELLAN HEALTH SERVICES,0.2
24161145,VIGOR INDUSTRIAL LLC,VIGOR INDUSTRIAL,0.2
7840491,ENVIRONMENTAL CHEMICAL CORPORATION,ENVIRONMENTAL CHEMICAL CORP,0.205882353
36069841,OCEAN SPRAY CRANBERRIES  INC.,OCEAN SPRAY CRANBERRIES,0.206896552
1183546,POINT BLANK ENTERPRISES  INC.,POINT BLANK ENTERPRISES,0.206896552
37276821,ALLIANT TECHSYSTEMS INC.,ALLIANT TECHSYSTEMS,0.208333333
338328,GLAXOSMITHKLINE PLC,GLAXOSMITHKLINE,0.210526316
6033877,NOVARTIS VACCINES AND DIAGNOSTICS  INC,NOVARTIS VACCINES & DIAGNOSTICS,0.210526316
19073585,J.E. DUNN CONSTRUCTION GROUP  INC,JE DUNN CONSTRUCTION GROUP,0.212121212
36440246,"J.E. DUNN CONSTRUCTION GROUP, INC",JE DUNN CONSTRUCTION GROUP,0.212121212
2394000,MANAGEMENT & TRAINING CORPORATION,MANAGEMENT & TRAINING CORP,0.212121212
28168580,"ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS, INC.",ENGINEERING & SOFTWARE SYSTEMS SOLUTIONS,0.212765957
307721,ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS  INC.,ENGINEERING & SOFTWARE SYSTEMS SOLUTIONS,0.212765957
8494589,LEVEL 3 COMMUNICATIONS  INC.,LEVEL 3 COMMUNICATIONS,0.214285714
9761816,IAP WORLDWIDE SERVICES  INC.,IAP WORLDWIDE SERVICES,0.214285714
37904255,"LEVEL 3 COMMUNICATIONS, INC.",LEVEL 3 COMMUNICATIONS,0.214285714
36405698,VARIAN MEDICAL SYSTEMS  INC.,VARIAN MEDICAL SYSTEMS,0.214285714
11295002,"VARIAN MEDICAL SYSTEMS, INC.",VARIAN MEDICAL SYSTEMS,0.214285714
38624214,BERKSHIRE HATHAWAY INC.,BERKSHIRE HATHAWAY,0.217391304
19751139,POLARIS INDUSTRIES INC.,POLARIS INDUSTRIES,0.217391304
3351944,AMERICAN PHARMACISTS ASSOCIATION,AMERICAN PHARMACISTS ASSN,0.21875
34483802,EDUCATION MANAGEMENT CORPORATION,EDUCATION MANAGEMENT CORP,0.21875
10051668,BALFOUR BEATTY PLC,BALFOUR BEATTY,0.222222222
6982892,"HDR, INC.",HDR INC,0.222222222
8574018,RADIANCE TECHNOLOGIES  INC.,RADIANCE TECHNOLOGIES,0.222222222
18588370,TOTAL SYSTEM SERVICES  INC.,TOTAL SYSTEM SERVICES,0.222222222
13146934,"TOTAL SYSTEM SERVICES, INC.",TOTAL SYSTEM SERVICES,0.222222222
20246447,UNITED PARCEL SERVICE  INC.,UNITED PARCEL SERVICE,0.222222222
38684475,"RADIANCE TECHNOLOGIES, INC.",RADIANCE TECHNOLOGIES,0.222222222
320259,"KBR, INC.",KBR INC,0.222222222
15914331,KBR  INC.,KBR INC,0.222222222
4617041,"UNITED PARCEL SERVICE, INC.",UNITED PARCEL SERVICE,0.222222222
33921000,GARNEY HOLDING COMPANY,GARNEY HOLDING CO,0.227272727
12443561,PRUDENTIAL FINANCIAL  INC.,PRUDENTIAL FINANCIAL,0.230769231
11211170,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE,0.235294118
9414886,QINETIQ GROUP PLC,QINETIQ GROUP,0.235294118
27947218,ERNST & YOUNG LLP,ERNST & YOUNG,0.235294118
26493744,ELBIT SYSTEMS LTD,ELBIT SYSTEMS,0.235294118
32061315,"CALIBRE SYSTEMS, INC.",CALIBER SYSTEM INC,0.238095238
27456117,CALIBRE SYSTEMS  INC.,CALIBER SYSTEM INC,0.238095238
15095464,BIOFIRE DIAGNOSTICS  INC.,BIOFIRE DIAGNOSTICS,0.24
20196905,AMERISOURCEBERGEN CORPORATION,AMERISOURCEBERGEN CORP,0.24137931
5027446,DYNAMICS RESEARCH CORPORATION,DYNAMICS RESEARCH CORP,0.24137931
34616909,BOSTON SCIENTIFIC CORPORATION,BOSTON SCIENTIFIC CORP,0.24137931
11083770,OCEAN SHIPHOLDINGS  INC.,OCEAN SHIPHOLDINGS,0.25
35374057,DEL MONTE FOODS  INC,DEL MONTE FOODS,0.25
29013093,DOMINION RESOURCES  INC.,DOMINION RESOURCES,0.25
16309186,SALTCHUK RESOURCES  INC.,SALTCHUK RESOURCES,0.25
4658878,INTUITIVE SURGICAL  INC.,INTUITIVE SURGICAL,0.25
10520583,AMERICAN SYSTEMS CORPORATION,AMERICAN SYSTEMS CORP,0.25
18914133,SOUTHERN COMPANY GAS,SOUTHERN CO GAS,0.25
8057351,SMITHS GROUP PLC,SMITHS GROUP,0.25
8321836,"INTUITIVE SURGICAL, INC.",INTUITIVE SURGICAL,0.25
3395822,CENTERPOINT ENERGY  INC.,CENTERPOINT ENERGY,0.25
34534033,YOUNG & RUBICAM INC.,YOUNG & RUBICAM,0.25
29114067,TORCH TECHNOLOGIES  INC.,TORCH TECHNOLOGIES,0.25
27112346,NORTHROP GRUMMAN INFORMATION T,NORTHROP GRUMMAN INNOVATION SYSTEMS,0.257142857
17976615,JONES LANG LASALLE INC,JONES LANG LASALLE AMERICAS,0.259259259
37117953,ADVANCED CONCEPTS & TECHNOLOGIES INTERNATIONAL LLC,ADVANCED CONCEPTS & TECHNOLOGIES INTL,0.26
5474366,"BURNS & MCDONNELL, INC.",BURNS & MCDONNELL,0.260869565
29059811,BURNS & MCDONNELL  INC.,BURNS & MCDONNELL,0.260869565
7944239,HILL-ROM HOLDINGS  INC.,HILL-ROM HOLDINGS,0.260869565
74374,PPG INDUSTRIES INC.,PPG INDUSTRIES,0.263157895
37656475,CENTERRA GROUP  LLC,CENTERRA GROUP,0.263157895
35007642,OSI SYSTEMS INC,OSI SYSTEMS,0.266666667
8574537,POTOMAC ELECTRIC POWER COMPANY,POTOMAC ELECTRIC POWER,0.266666667
2882996,SERCO GROUP PLC,SERCO GROUP,0.266666667
27409636,BAE SYSTEMS PLC,BAE SYSTEMS,0.266666667
1875362,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT CORP,0.269230769
37848587,AFOGNAK NATIVE CORPORATION,AFOGNAK NATIVE CORP,0.269230769
7957612,KIMBERLY-CLARK CORPORATION,KIMBERLY-CLARK CORP,0.269230769
34282295,VERISK ANALYTICS  INC.,VERISK ANALYTICS,0.272727273
13297080,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS,0.272727273
490713,ALLEGHENY ENERGY  INC.,ALLEGHENY ENERGY,0.272727273
13526751,JOHNSON CONTROLS  INC.,JOHNSON CONTROLS,0.272727273
9599555,KPMG L.L.P.,KPMG LLP,0.272727273
28047435,"BECTON, DICKINSON AND COMPANY","BECTON, DICKINSON & CO",0.275862069
16924202,OMNICOM GROUP INC.,OMNICOM GROUP,0.277777778
234300,CISCO SYSTEMS INC.,CISCO SYSTEMS,0.277777778
15898040,FORD MOTOR COMPANY,FORD MOTOR CO,0.277777778
3743315,LEO A DALY COMPANY,LEO A DALY CO,0.277777778
22271331,ELBIT SYSTEMS LTD.,ELBIT SYSTEMS,0.277777778
3139039,NUSTAR ENERGY L.P.,NUSTAR ENERGY,0.277777778
38515470,SIERRA NEVADA CORPORATION,SIERRA NEVADA CORP,0.28
31517840,L3 TECHNOLOGIES  INC.,L3 TECHNOLOGIES,0.285714286
2819112,CARDINAL HEALTH  INC.,CARDINAL HEALTH,0.285714286
10915552,MORPHO TRUST USA  INC,MORPHOTRUST USA,0.285714286
14844450,"CARDINAL HEALTH, INC.",CARDINAL HEALTH,0.285714286
8198261,ROLLS-ROYCE GROUP PLC,ROLLS-ROYCE PLC,0.285714286
15597741,EXPRESS SCRIPTS  INC.,EXPRESS SCRIPTS,0.285714286
20043768,NEW MOUNTAIN CAPITAL  L.L.C.,NEW MOUNTAIN CAPITAL,0.285714286
12312609,STATE STREET CORPORATION,STATE STREET CORP,0.291666667
35116949,MAGELLAN HEALTH  INC.,MAGELLAN HEALTH SERVICES,0.291666667
25653223,CFD RESEARCH CORPORATION,CFD RESEARCH CORP,0.291666667
11640514,KRAFT FOODS INC.,KRAFT FOODS GROUP,0.294117647
