,org_id,org_name,Cycle,Total,Democrats,Republicans,% to Dems,% to Repubs,Individuals,PACs,Soft (Indivs),Soft (Orgs)
21,D000042418,Conair Corp,2008,"$13,350","$4,850","$8,500",36%,64%,"$13,350",$0,$0,$0
22,D000042418,Conair Corp,2006,"$3,100",$0,"$3,100",0%,100%,"$3,100",$0,$0,$0
23,D000042418,Conair Corp,2004,"$4,800",$500,"$4,300",10%,90%,"$4,800",$0,$0,$0
24,D000042418,Conair Corp,2002,$200,$0,$200,0%,100%,$200,$0,$0,$0
25,D000042418,Conair Corp,2000,"$4,050","$1,300","$2,750",32%,68%,"$4,050",$0,$0,$0
26,D000042418,Conair Corp,1998,"$30,750","$13,000","$17,750",42%,58%,"$30,750",$0,$0,$0
27,D000042418,Conair Corp,1996,"$6,650",$450,"$6,200",7%,93%,"$6,650",$0,$0,$0
28,D000042418,Conair Corp,1994,"$6,000",$0,"$6,000",0%,100%,"$6,000",$0,$0,$0
29,D000042418,Conair Corp,1992,"$2,500","$2,500",$0,100%,0%,"$2,500",$0,$0,$0
31,D000042419,Crosstown Traders,2004,"$3,500","$3,000",$500,86%,14%,"$3,500",$0,$0,$0
32,D000042419,Crosstown Traders,2002,$500,$500,$0,100%,0%,$500,$0,$0,$0
34,D000042420,Scunci,2016,"$1,100",$100,"$1,000",9%,91%,"$1,100",$0,$0,$0
35,D000042420,Scunci,2014,"$5,300","$5,300",$0,100%,0%,"$5,300",$0,$0,$0
36,D000042420,Scunci,2010,"$7,200","$7,200",$0,100%,0%,"$7,200",$0,$0,$0
38,D000042421,Sephora USA,2006,"$2,000","$2,000",$0,100%,0%,"$2,000",$0,$0,$0
39,D000042421,Sephora USA,2004,"$1,250","$1,250",$0,100%,0%,"$1,250",$0,$0,$0
41,D000042422,Davide Campari-Milano,2010,"$5,000","$5,000",$0,100%,0%,"$5,000",$0,$0,$0
42,D000042422,Davide Campari-Milano,2008,"$4,600",$0,"$4,600",0%,100%,"$4,600",$0,$0,$0
43,D000042422,Davide Campari-Milano,2004,"$4,000",$0,"$4,000",0%,100%,"$4,000",$0,$0,$0
44,D000042422,Davide Campari-Milano,2000,"$2,500",$0,"$2,500",0%,100%,"$2,500",$0,$0,$0
48,D000042425,Siemens AG,2020,"$38,645","$18,859","$18,786",49%,49%,"$10,645","$27,000","$1,000",$0
49,D000042425,Siemens AG,2018,"$359,191","$206,265","$149,208",57%,42%,"$165,761","$191,250","$1,680",$0
50,D000042425,Siemens AG,2016,"$405,586","$163,355","$238,121",40%,59%,"$149,096","$253,430","$1,550",$0
51,D000042425,Siemens AG,2014,"$358,381","$164,031","$188,800",46%,53%,"$46,031","$311,400",$0,$0
52,D000042425,Siemens AG,2012,"$524,558","$291,408","$229,175",56%,44%,"$218,583","$302,000","$3,950",$0
53,D000042425,Siemens AG,2010,"$342,450","$191,625","$147,325",56%,43%,"$29,415","$312,500",$500,$0
54,D000042425,Siemens AG,2008,"$473,587","$272,181","$198,571",58%,42%,"$154,552","$318,500",$0,$0
55,D000042425,Siemens AG,2006,"$425,280","$174,766","$248,934",41%,59%,"$74,451","$350,499",$0,$0
56,D000042425,Siemens AG,2004,"$441,549","$174,699","$264,650",40%,60%,"$68,550","$371,299",$0,$0
57,D000042425,Siemens AG,2002,"$173,823","$41,674","$132,149",24%,76%,"$33,475","$119,998","$5,350","$15,000"
58,D000042425,Siemens AG,2000,"$39,450","$11,749","$24,201",30%,61%,"$17,900","$10,000","$1,250","$10,300"
59,D000042425,Siemens AG,1998,"$13,800","$1,050","$12,750",8%,92%,"$3,800",$0,$0,"$10,000"
60,D000042425,Siemens AG,1996,"$26,500",$200,"$26,300",1%,99%,"$1,500",$0,$0,"$25,000"
61,D000042425,Siemens AG,1994,"$17,567","$6,200","$11,367",35%,65%,"$4,567",$0,$0,"$13,000"
62,D000042425,Siemens AG,1992,"$21,839",$750,"$21,089",3%,97%,"$4,339",$0,$0,"$17,500"
63,D000042425,Siemens AG,1990,"$1,789","$1,150",$639,64%,36%,"$1,789",$0,,
65,D000042426,CSK Auto,2006,$-500,$0,$-500,0%,100%,$-500,$0,$0,$0
66,D000042426,CSK Auto,2004,"$2,500",$0,"$2,500",0%,100%,"$2,500",$0,$0,$0
68,D000042427,O'Reilly Auto Parts,2020,"$2,533",$150,"$2,383",6%,94%,"$2,533",$0,$0,$0
69,D000042427,O'Reilly Auto Parts,2018,"$66,293","$51,338","$12,398",77%,19%,"$64,943",$0,"$1,350",$0
70,D000042427,O'Reilly Auto Parts,2016,"$26,838","$3,845","$20,218",14%,75%,"$24,088",$0,"$2,500",$0
71,D000042427,O'Reilly Auto Parts,2014,$250,$250,$0,100%,0%,$250,$0,$0,$0
72,D000042427,O'Reilly Auto Parts,2012,"$18,413",$962,"$17,451",5%,95%,"$18,413",$0,$0,$0
73,D000042427,O'Reilly Auto Parts,2010,"$22,300","$3,500","$18,800",16%,84%,"$22,300",$0,$0,$0
74,D000042427,O'Reilly Auto Parts,2008,"$25,401","$5,850","$14,551",23%,57%,"$20,401",$0,$0,$0
75,D000042427,O'Reilly Auto Parts,2006,"$14,350","$9,900","$4,450",69%,31%,"$14,350",$0,$0,$0
76,D000042427,O'Reilly Auto Parts,2004,"$20,850","$2,500","$18,350",12%,88%,"$20,850",$0,$0,$0
77,D000042427,O'Reilly Auto Parts,2002,"$10,950","$1,500","$9,450",14%,86%,"$10,950",$0,$0,$0
78,D000042427,O'Reilly Auto Parts,2000,"$11,125","$1,000","$10,125",9%,91%,"$11,125",$0,$0,$0
79,D000042427,O'Reilly Auto Parts,1998,"$4,202",$0,"$4,202",0%,100%,"$4,202",$0,$0,$0
80,D000042427,O'Reilly Auto Parts,1996,"$11,192","$1,000","$10,192",9%,91%,"$11,192",$0,$0,$0
81,D000042427,O'Reilly Auto Parts,1994,"$4,100",$500,"$3,600",12%,88%,"$4,100",$0,$0,$0
82,D000042427,O'Reilly Auto Parts,1992,"$2,800",$0,"$2,800",0%,100%,"$2,800",$0,$0,$0
83,D000042427,O'Reilly Auto Parts,1990,$250,$0,$250,0%,100%,$250,$0,,
88,D000042431,Pennzoil-Quaker State,2002,"$37,250","$29,750","$7,500",80%,20%,"$36,000","$1,250",$0,$0
89,D000042431,Pennzoil-Quaker State,2000,"$41,950","$10,500","$31,450",25%,75%,"$28,950","$11,000",$0,"$2,000"
90,D000042431,Pennzoil-Quaker State,1998,"$41,250","$9,500","$31,750",23%,77%,"$4,750","$28,500",$0,"$8,000"
91,D000042431,Pennzoil-Quaker State,1996,"$42,050","$8,000","$34,050",19%,81%,"$10,050","$26,000",$0,"$6,000"
92,D000042431,Pennzoil-Quaker State,1994,"$90,614","$28,900","$61,714",32%,68%,"$1,000","$49,614",$0,"$40,000"
93,D000042431,Pennzoil-Quaker State,1992,"$139,080","$20,550","$118,530",15%,85%,"$25,450","$33,630",$0,"$80,000"
94,D000042431,Pennzoil-Quaker State,1990,"$69,550","$29,950","$39,600",43%,57%,"$19,225","$50,325",,
96,D000042432,Foot Locker Inc,2020,$44,$0,$44,0%,98%,$44,$0,$0,$0
97,D000042432,Foot Locker Inc,2018,"$1,601","$1,367",$196,85%,12%,"$1,601",$0,$0,$0
98,D000042432,Foot Locker Inc,2016,"$15,327","$9,127","$6,200",60%,40%,"$15,327",$0,$0,$0
99,D000042432,Foot Locker Inc,2014,"$-3,200",$0,"$-3,200",0%,100%,"$-3,200",$0,$0,$0
100,D000042432,Foot Locker Inc,2012,"$47,813",$500,"$47,100",1%,99%,"$47,600",$0,$0,$0
101,D000042432,Foot Locker Inc,2010,"$6,412","$4,800","$1,450",75%,23%,"$6,250",$0,$0,$0
102,D000042432,Foot Locker Inc,2008,"$8,114","$5,850","$2,264",72%,28%,"$8,114",$0,$0,$0
103,D000042432,Foot Locker Inc,2006,"$2,200","$1,400",$800,64%,36%,"$2,200",$0,$0,$0
104,D000042432,Foot Locker Inc,2004,"$6,045","$2,300","$3,745",38%,62%,"$6,045",$0,$0,$0
105,D000042432,Foot Locker Inc,2002,$200,$0,$200,0%,100%,$200,$0,$0,$0
106,D000042432,Foot Locker Inc,1992,"$1,050",$0,"$1,050",0%,100%,"$1,050",$0,$0,$0
109,D000042434,Perkins Restaurants,2004,"$1,000",$0,"$1,000",0%,100%,"$1,000",$0,$0,$0
110,D000042434,Perkins Restaurants,2002,"$2,500",$0,"$2,000",0%,80%,"$2,500",$0,$0,$0
111,D000042434,Perkins Restaurants,2000,"$2,500",$0,"$2,500",0%,100%,"$2,500",$0,$0,$0
112,D000042434,Perkins Restaurants,1998,$500,$0,$500,0%,100%,$500,$0,$0,$0
113,D000042434,Perkins Restaurants,1996,"$1,000",$0,"$1,000",0%,100%,"$1,000",$0,$0,$0
117,D000042437,PDVSA,2018,"$9,214","$5,911","$3,091",64%,34%,"$9,214",$0,$0,$0
118,D000042437,PDVSA,2016,"$14,124","$7,452","$6,422",53%,46%,"$13,874",$0,$0,$0
119,D000042437,PDVSA,2014,"$9,290","$6,640","$2,650",72%,29%,"$9,290",$0,$0,$0
120,D000042437,PDVSA,2012,"$48,547","$17,700","$23,802",37%,49%,"$48,547",$0,$0,$0
121,D000042437,PDVSA,2010,"$5,100","$1,250","$3,850",25%,76%,"$5,100",$0,$0,$0
122,D000042437,PDVSA,2008,"$15,966","$7,166","$8,050",45%,50%,"$15,966",$0,$0,$0
123,D000042437,PDVSA,2006,"$1,350",$0,"$1,350",0%,100%,"$1,350",$0,$0,$0
124,D000042437,PDVSA,2004,"$4,450","$2,950","$1,250",66%,28%,"$4,450",$0,$0,$0
125,D000042437,PDVSA,2002,"$30,850","$5,750","$25,100",19%,81%,"$10,850",$0,$0,"$20,000"
126,D000042437,PDVSA,2000,"$6,200","$2,500","$3,700",40%,60%,"$6,200",$0,$0,$0
127,D000042437,PDVSA,1998,"$32,600","$2,600","$30,000",8%,92%,"$2,600",$0,$0,"$30,000"
128,D000042437,PDVSA,1996,"$206,150","$98,900","$107,250",48%,52%,"$17,700",$0,$0,"$188,450"
129,D000042437,PDVSA,1994,"$106,300","$98,750","$7,550",93%,7%,"$31,300",$0,$0,"$75,000"
130,D000042437,PDVSA,1992,"$32,627","$22,600","$10,027",69%,31%,"$32,627",$0,$0,$0
131,D000042437,PDVSA,1990,"$10,850","$10,100",$750,93%,7%,"$10,850",$0,,
133,D000042438,Carolee Designs,2018,$50,$50,$0,98%,0%,$50,$0,$0,$0
134,D000042438,Carolee Designs,2010,"$6,000","$6,000",$0,100%,0%,"$6,000",$0,$0,$0
135,D000042438,Carolee Designs,2006,"$1,000","$1,000",$0,100%,0%,"$1,000",$0,$0,$0
136,D000042438,Carolee Designs,2004,$250,$250,$0,100%,0%,$250,$0,$0,$0
137,D000042438,Carolee Designs,2002,"$5,000","$5,000",$0,100%,0%,"$5,000",$0,$0,$0
139,D000042439,Beam Global Spirits & Wine,2006,"$1,500",$0,"$1,500",0%,100%,"$1,500",$0,$0,$0
142,D000042441,Playtex Products,2006,"$3,850","$1,750","$2,100",45%,55%,"$3,850",$0,$0,$0
143,D000042441,Playtex Products,2004,"$2,500",$500,"$2,000",20%,80%,"$2,500",$0,$0,$0
144,D000042441,Playtex Products,2002,$500,$250,$250,50%,50%,$500,$0,$0,$0
145,D000042441,Playtex Products,2000,"$1,200",$200,"$1,000",17%,83%,"$1,200",$0,$0,$0
146,D000042441,Playtex Products,1998,$250,$0,$250,0%,100%,$250,$0,$0,$0
147,D000042441,Playtex Products,1996,"$9,475",$0,"$9,475",0%,100%,"$9,475",$0,$0,$0
148,D000042441,Playtex Products,1994,"$2,750",$0,"$2,750",0%,100%,"$2,750",$0,$0,$0
149,D000042441,Playtex Products,1992,"$25,899",$0,"$25,899",0%,100%,$899,$0,"$25,000",$0
150,D000042441,Playtex Products,1990,"$1,709",$0,"$1,709",0%,100%,"$1,709",$0,,
152,D000042442,PharmaCare Management Services,2008,"$2,000","$1,000","$1,000",50%,50%,"$2,000",$0,$0,$0
154,D000042443,Priceline.com,2012,"$39,698","$1,477","$38,221",4%,96%,"$39,698",$0,$0,$0
155,D000042443,Priceline.com,2010,"$11,366","$7,966","$3,400",70%,30%,"$11,366",$0,$0,$0
156,D000042443,Priceline.com,2008,"$19,000","$3,100","$15,900",16%,84%,"$19,000",$0,$0,$0
157,D000042443,Priceline.com,2006,"$4,500",$0,"$2,500",0%,56%,"$4,500",$0,$0,$0
158,D000042443,Priceline.com,2004,"$67,550","$50,800","$16,750",75%,25%,"$67,550",$0,$0,$0
159,D000042443,Priceline.com,2002,"$17,667","$12,167","$5,500",69%,31%,"$17,667",$0,$0,$0
160,D000042443,Priceline.com,2000,"$79,050","$64,750","$14,300",82%,18%,"$74,050",$0,"$5,000",$0
161,D000042443,Priceline.com,1998,"$1,250","$1,250",$0,100%,0%,"$1,250",$0,$0,$0
163,D000042444,Belk Inc,2020,"$8,335","$8,100",$235,97%,3%,"$8,335",$0,$0,$0
164,D000042444,Belk Inc,2018,"$91,324","$21,464","$9,600",24%,11%,"$41,074",$0,"$50,250",$0
165,D000042444,Belk Inc,2016,"$62,223","$12,729","$24,494",21%,39%,"$37,223",$0,"$25,000",$0
166,D000042444,Belk Inc,2014,"$31,350","$4,500","$26,850",14%,86%,"$31,350",$0,$0,$0
167,D000042444,Belk Inc,2012,"$25,009","$1,950","$23,059",8%,92%,"$25,009",$0,$0,$0
168,D000042444,Belk Inc,2010,"$12,756","$2,000","$10,756",16%,84%,"$12,756",$0,$0,$0
169,D000042444,Belk Inc,2008,"$15,480","$6,800","$8,000",44%,52%,"$14,800",$0,$0,$0
170,D000042444,Belk Inc,2006,"$21,746","$2,750","$18,321",13%,84%,"$21,071",$0,$0,$0
171,D000042444,Belk Inc,2004,"$59,250","$38,500","$20,750",65%,35%,"$59,250",$0,$0,$0
172,D000042444,Belk Inc,2002,"$59,250","$26,400","$32,850",45%,55%,"$51,590",$0,"$7,660",$0
173,D000042444,Belk Inc,2000,"$28,200","$5,500","$22,700",20%,81%,"$28,200",$0,$0,$0
174,D000042444,Belk Inc,1998,"$20,800","$7,900","$12,900",38%,62%,"$20,800",$0,$0,$0
175,D000042444,Belk Inc,1996,"$24,150","$18,700","$5,450",77%,23%,"$24,150",$0,$0,$0
176,D000042444,Belk Inc,1994,"$11,950","$7,150","$4,800",60%,40%,"$10,450",$0,$0,"$1,500"
177,D000042444,Belk Inc,1992,"$9,225","$7,225","$2,000",78%,22%,"$9,225",$0,$0,$0
178,D000042444,Belk Inc,1990,"$4,450","$3,250","$1,200",73%,27%,"$4,450",$0,,
181,D000042446,Groupe Danone,2020,"$11,750","$11,700",$50,100%,0%,"$11,750",$0,$0,$0
182,D000042446,Groupe Danone,2018,"$41,469","$41,457",$12,100%,0%,"$41,469",$0,$0,$0
183,D000042446,Groupe Danone,2016,"$77,158","$73,658",$0,96%,0%,"$73,658",$0,"$3,500",$0
184,D000042446,Groupe Danone,2014,"$33,650","$33,650",$0,100%,0%,"$33,650",$0,$0,$0
185,D000042446,Groupe Danone,2012,"$129,075","$128,825",$250,100%,0%,"$129,075",$0,$0,$0
186,D000042446,Groupe Danone,2010,"$47,850","$47,850",$0,100%,0%,"$47,850",$0,$0,$0
187,D000042446,Groupe Danone,2008,"$68,700","$68,200",$500,99%,1%,"$68,700",$0,$0,$0
188,D000042446,Groupe Danone,2006,"$2,350","$2,100",$250,89%,11%,"$2,350",$0,$0,$0
189,D000042446,Groupe Danone,2004,$200,$0,$200,0%,100%,$200,$0,$0,$0
190,D000042446,Groupe Danone,2000,$250,$250,$0,100%,0%,$250,$0,$0,$0
191,D000042446,Groupe Danone,1996,$200,$200,$0,100%,0%,$200,$0,$0,$0
195,D000042449,Siemens Building Technologies,2016,$691,$0,$691,0%,100%,$691,$0,$0,$0
196,D000042449,Siemens Building Technologies,2012,$250,$250,$0,100%,0%,$250,$0,$0,$0
197,D000042449,Siemens Building Technologies,2010,"$2,650",$250,"$2,400",9%,91%,"$2,650",$0,$0,$0
199,D000042450,Siemens Dematic Postal Automation,2006,$375,$0,$375,0%,100%,$375,$0,$0,$0
200,D000042450,Siemens Dematic Postal Automation,2004,"$1,950",$200,"$1,750",10%,90%,"$1,950",$0,$0,$0
201,D000042450,Siemens Dematic Postal Automation,2002,"$2,750","$1,750","$1,000",64%,36%,$250,"$2,500",$0,$0
202,D000042450,Siemens Dematic Postal Automation,2000,"$5,500","$2,000","$3,500",36%,64%,$0,"$5,500",$0,$0
203,D000042450,Siemens Dematic Postal Automation,1998,"$1,800",$0,"$1,800",0%,100%,$0,"$1,800",$0,$0
204,D000042450,Siemens Dematic Postal Automation,1996,"$5,500","$1,500","$4,000",27%,73%,$250,"$5,250",$0,$0
205,D000042450,Siemens Dematic Postal Automation,1994,"$8,200","$4,700","$3,500",57%,43%,$0,"$8,200",$0,$0
206,D000042450,Siemens Dematic Postal Automation,1992,"$29,450","$19,850","$9,600",67%,33%,"$1,350","$28,100",$0,$0
207,D000042450,Siemens Dematic Postal Automation,1990,"$18,350","$12,800","$5,550",70%,30%,$0,"$18,350",,
210,D000042452,Siemens Energy & Automation,2016,$44,$0,$44,0%,98%,$44,$0,$0,$0
211,D000042452,Siemens Energy & Automation,2014,$275,$0,$275,0%,100%,$275,$0,$0,$0
212,D000042452,Siemens Energy & Automation,2012,"$12,015","$2,444","$9,571",20%,80%,"$12,015",$0,$0,$0
213,D000042452,Siemens Energy & Automation,2010,"$6,559",$250,"$6,309",4%,96%,"$6,559",$0,$0,$0
214,D000042452,Siemens Energy & Automation,2000,"$1,000",$500,$500,50%,50%,"$1,000",$0,$0,$0
215,D000042452,Siemens Energy & Automation,1996,"$1,100",$0,"$1,100",0%,100%,"$1,100",$0,$0,$0
216,D000042452,Siemens Energy & Automation,1992,"$10,600","$6,900","$3,700",65%,35%,$0,"$10,600",$0,$0
217,D000042452,Siemens Energy & Automation,1990,"$9,500","$5,100","$4,400",54%,46%,$0,"$9,500",,
220,D000042454,Siemens Financial Services,2018,$50,$50,$0,98%,0%,$50,$0,$0,$0
221,D000042454,Siemens Financial Services,2016,$896,$446,$450,50%,50%,$896,$0,$0,$0
222,D000042454,Siemens Financial Services,2012,"$2,312","$2,312",$0,100%,0%,"$2,312",$0,$0,$0
224,D000042455,Siemens Government Services,2006,"$1,250",$0,"$1,250",0%,100%,"$1,250",$0,$0,$0
227,D000042457,Siemens Healthcare Diagnostics,2010,"$1,600",$200,"$1,400",13%,87%,"$1,600",$0,$0,$0
230,D000042459,Siemens PLM Software,2010,"$3,000","$1,250","$1,750",42%,58%,"$3,000",$0,$0,$0
232,D000042460,Siemens Transportation Systems,2004,"$3,500","$2,500","$1,000",71%,29%,"$3,500",$0,$0,$0
235,D000042462,JVC Kenwood Holdings,2016,$852,$502,$350,59%,41%,$852,$0,$0,$0
236,D000042462,JVC Kenwood Holdings,2012,"$1,085",$450,$635,41%,59%,"$1,085",$0,$0,$0
237,D000042462,JVC Kenwood Holdings,2010,"$1,000",$0,"$1,000",0%,100%,"$1,000",$0,$0,$0
238,D000042462,JVC Kenwood Holdings,2008,$800,$250,$550,31%,69%,$800,$0,$0,$0
239,D000042462,JVC Kenwood Holdings,2000,$250,$0,$250,0%,100%,$250,$0,$0,$0
240,D000042462,JVC Kenwood Holdings,1998,"$1,000",$0,"$1,000",0%,100%,"$1,000",$0,$0,$0
241,D000042462,JVC Kenwood Holdings,1996,$250,$0,$250,0%,100%,$250,$0,$0,$0
245,D000042465,JASON Natural Products,2004,$950,$950,$0,100%,0%,$950,$0,$0,$0
246,D000042465,JASON Natural Products,2002,"$2,000","$2,000",$0,100%,0%,"$2,000",$0,$0,$0
249,D000042467,Jarden Corp,2018,$650,$625,$0,96%,0%,$650,$0,$0,$0
250,D000042467,Jarden Corp,2016,"$122,725","$9,425","$13,300",8%,11%,"$22,725",$0,"$100,000",$0
251,D000042467,Jarden Corp,2014,"$11,550","$11,050",$0,96%,0%,"$11,050",$0,$500,$0
252,D000042467,Jarden Corp,2012,"$9,225","$4,281","$4,944",46%,54%,"$9,225",$0,$0,$0
253,D000042467,Jarden Corp,2010,"$2,750","$2,750",$0,100%,0%,"$2,750",$0,$0,$0
254,D000042467,Jarden Corp,2008,"$22,650","$9,450","$13,200",42%,58%,"$22,650",$0,$0,$0
255,D000042467,Jarden Corp,2006,"$2,250","$2,250",$0,100%,0%,"$2,250",$0,$0,$0
256,D000042467,Jarden Corp,2004,"$6,000","$1,000","$5,000",17%,83%,"$6,000",$0,$0,$0
257,D000042467,Jarden Corp,2002,"$1,000","$1,000",$0,100%,0%,"$1,000",$0,$0,$0
259,D000042468,Sunbeam Corp,2006,"$6,250","$1,250","$5,000",20%,80%,"$6,250",$0,$0,$0
260,D000042468,Sunbeam Corp,2004,"$2,000","$2,000",$0,100%,0%,"$2,000",$0,$0,$0
261,D000042468,Sunbeam Corp,2002,"$22,750","$4,500","$18,250",20%,80%,"$7,750",$0,"$15,000",$0
262,D000042468,Sunbeam Corp,2000,"$1,000",$500,$500,50%,50%,"$1,000",$0,$0,$0
266,D000042471,Coleman Co,2018,"$15,857",$0,"$15,857",0%,100%,"$15,857",$0,$0,$0
267,D000042471,Coleman Co,2016,"$3,250",$0,"$3,250",0%,100%,"$3,250",$0,$0,$0
268,D000042471,Coleman Co,2014,"$7,000",$0,"$7,000",0%,100%,"$7,000",$0,$0,$0
269,D000042471,Coleman Co,2006,"$1,000",$0,"$1,000",0%,100%,"$1,000",$0,$0,$0
270,D000042471,Coleman Co,2004,"$1,500",$0,"$1,500",0%,100%,"$1,500",$0,$0,$0
271,D000042471,Coleman Co,2002,"$6,638",$0,"$6,638",0%,100%,"$6,638",$0,$0,$0
272,D000042471,Coleman Co,2000,"$4,800",$500,"$4,300",10%,90%,"$4,800",$0,$0,$0
273,D000042471,Coleman Co,1998,"$5,500","$5,500",$0,100%,0%,"$5,500",$0,$0,$0
274,D000042471,Coleman Co,1996,"$15,200","$1,200","$14,000",8%,92%,"$5,200",$0,$0,"$10,000"
275,D000042471,Coleman Co,1994,"$2,500","$2,000",$500,80%,20%,"$2,500",$0,$0,$0
276,D000042471,Coleman Co,1992,"$5,900","$2,250","$3,650",38%,62%,"$3,000","$2,900",$0,$0
277,D000042471,Coleman Co,1990,"$6,050",$600,"$5,450",10%,90%,"$5,050","$1,000",,
281,D000042474,Roche Holdings,2020,"$293,807","$129,342","$164,465",44%,56%,"$63,807","$230,000",$0,$0
282,D000042474,Roche Holdings,2018,"$1,364,323","$578,919","$588,232",42%,43%,"$238,810","$927,500","$2,960","$3,000"
283,D000042474,Roche Holdings,2016,"$1,022,927","$543,353","$342,079",53%,33%,"$329,842","$557,500",$900,"$1,500"
284,D000042474,Roche Holdings,2014,"$630,921","$353,665","$253,962",56%,40%,"$120,127","$484,000","$1,215","$2,500"
285,D000042474,Roche Holdings,2012,"$828,496","$493,885","$304,971",60%,37%,"$274,856","$523,000",$700,$0
286,D000042474,Roche Holdings,2010,"$815,913","$408,088","$385,626",50%,47%,"$120,813","$666,750",$250,"$10,000"
287,D000042474,Roche Holdings,2008,"$1,148,612","$744,230","$377,737",65%,33%,"$336,367","$791,500",$0,$0
288,D000042474,Roche Holdings,2006,"$645,140","$269,240","$364,150",42%,56%,"$88,490","$554,900",$0,$0
289,D000042474,Roche Holdings,2004,"$655,770","$240,080","$233,090",37%,36%,"$150,170","$323,250",$0,$0
290,D000042474,Roche Holdings,2002,"$523,640","$230,800","$292,590",44%,56%,"$35,175","$313,550","$2,700","$172,215"
291,D000042474,Roche Holdings,2000,"$539,915","$227,275","$310,640",42%,58%,"$96,616","$303,249",$525,"$139,525"
292,D000042474,Roche Holdings,1998,"$353,809","$141,879","$211,930",40%,60%,"$14,890","$223,919",$0,"$115,000"
293,D000042474,Roche Holdings,1996,"$442,555","$175,777","$266,278",40%,60%,"$43,712","$253,643",$0,"$145,200"
294,D000042474,Roche Holdings,1994,"$461,705","$291,989","$169,716",63%,37%,"$44,440","$324,765",$0,"$92,500"
295,D000042474,Roche Holdings,1992,"$193,750","$117,251","$76,499",61%,40%,"$34,950","$148,800",$0,"$10,000"
296,D000042474,Roche Holdings,1990,"$105,650","$60,600","$45,050",57%,43%,"$8,250","$97,400",,
299,D000042476,Sony Music Entertainment,2006,"$45,900","$27,050","$18,850",59%,41%,"$45,900",$0,$0,$0
300,D000042476,Sony Music Entertainment,2004,"$92,424","$74,274","$18,150",80%,20%,"$92,424",$0,$0,$0
301,D000042476,Sony Music Entertainment,1994,"$17,400","$16,400","$1,000",94%,6%,"$17,400",$0,$0,$0
302,D000042476,Sony Music Entertainment,1992,"$125,600","$73,450","$52,150",59%,42%,"$25,600",$0,$0,"$100,000"
307,D000042480,Kiehl's Since 1851,2018,$50,$50,$0,98%,0%,$50,$0,$0,$0
308,D000042480,Kiehl's Since 1851,2016,$527,$527,$0,100%,0%,$527,$0,$0,$0
309,D000042480,Kiehl's Since 1851,2004,$250,$250,$0,100%,0%,$250,$0,$0,$0
315,D000042485,Ventana Medical Systems,2004,$500,$0,$500,0%,100%,$500,$0,$0,$0
318,D000042487,KC Distance Learning,2010,"$1,250","$1,000",$250,80%,20%,"$1,250",$0,$0,$0
319,D000042487,KC Distance Learning,2008,$250,$250,$0,100%,0%,$250,$0,$0,$0
320,D000042487,KC Distance Learning,2004,$500,$500,$0,100%,0%,$500,$0,$0,$0
323,D000042489,JBS SA,2020,"$12,000",$0,"$12,000",0%,100%,$0,"$12,000",$0,$0
