,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Unnamed: 0,% to Dems,% to Repubs,0,1,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,Unnamed: 0.1,org_id,org_name,org_name_clean
32,CITIGROUPINC,135474211.6,176575965.6,275,8065.598378,56643604231,1,CITIGROUP INC.,,OTHER THAN SMALL BUSINESS,2008,citigroup,289,62%,38%,,,2008,"$3,368,769 ","$4,421,362 ","$982,799 ","$2,039,392 ","$5,000 ","$4,000 ","$5,432,586 ",360,D000000071,CITIGROUP INC,citigroup
33,COBHAMPLC,5074510.72,5074510.72,92,5734.666667,578133339,1,COBHAM PLC,,OTHER THAN SMALL BUSINESS,2008,cobham,11209,34%,65%,,,2008,"$35,971 ","$37,391 ","$67,100 ","$68,270 ",$0 ,$0 ,"$104,491 ",14079,D000049451,COBHAM HOLDINGS,cobham
34,COCACOLAENTERPRISESINC,30466573.8,894381445.6,183,4796.71322,365808275.8,1,COCA-COLA ENTERPRISES INC.,,OTHER THAN SMALL BUSINESS,2008,cocacola enterprises,81754,41%,59%,,,2008,"$130,879 ","$52,029 ","$268,500 ","$189,650 ",$0 ,$0 ,"$320,529 ",100646,D000065473,COCA-COLA ENTERPRISES,cocacola enterprises
35,COLLEGEOFAMERICANPATHOLOGISTS,6293,6293,1,658,210350967,1,COLLEGE OF AMERICAN PATHOLOGISTS,,OTHER THAN SMALL BUSINESS,2008,college american pathologists,5912,53%,47%,,,2008,"$539,119 ","$1,992 ","$1,019,126 ","$481,999 ",$0 ,$0 ,"$1,021,118 ",6452,D000000540,COLLEGE OF AMERICAN PATHOLOGISTS,college american pathologists
36,CONSOLIDATEDEDISONINC,948384.42,1144768.42,1,13953,96,1,CONSOLIDATED EDISON  INC.,,OTHER THAN SMALL BUSINESS,2008,consolidated edison,26299,86%,14%,,,2008,"$52,375 ","$44,426 ","$16,750 ","$8,801 ",$0 ,$0 ,"$61,176 ",51409,D000025111,CONSOLIDATED EDISON INC,consolidated edison
37,CRHPLC,316797.5,316797.5,2,230,130000000,1,CRH PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,crh,84712,52%,48%,,,2008,"$257,590 ","$9,490 ","$487,100 ","$238,500 ",$0 ,$0 ,"$496,590 ",104946,D000066815,CRH PLC,crh
38,CSLLIMITED,79124.28,79124.28,1,4500,725600000,1,CSL LIMITED,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,csl,26770,33%,68%,,,2008,"$7,450 ","$5,150 ","$17,750 ","$15,450 ",$0 ,$0 ,"$22,900 ",51965,D000025196,CSL LTD,csl
39,CUBICCORPORATION,9926491.97,9926491.97,467,449.3176771,23266874.86,1,CUBIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,cubic,13582,16%,84%,,,2008,"$41,150 ","$136,050 ","$125,400 ","$220,300 ",$0 ,$0 ,"$261,450 ",35525,D000021944,CUBIC CORP,cubic
40,CUMMINSINC,49629263.15,50287184.28,44,1558.393333,57928342.97,1,CUMMINS INC.,OTHER,OTHER THAN SMALL BUSINESS,2008,cummins,13598,56%,44%,,,2008,"$161,300 ","$113,901 ","$175,500 ","$128,101 ",$0 ,$0 ,"$289,401 ",35542,D000021945,CUMMINS INC,cummins
41,CURTISSWRIGHTCORPORATION,5360352.64,5360352.64,35,2545.164286,447340338.4,1,CURTISS-WRIGHT CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,curtisswright,26797,42%,58%,,,2008,"$43,000 ","$6,500 ","$95,750 ","$59,250 ",$0 ,$0 ,"$102,250 ",52008,D000025212,CURTISS-WRIGHT CORP,curtisswright
42,DCIINC,245962.56,245962.56,1005,86.66666667,10000000,1,"DCI, INC.",,SMALL BUSINESS,2008,dci,13679,29%,71%,,,2008,"$82,650 ","$227,696 ","$60,250 ","$205,296 ",$0 ,$0 ,"$287,946 ",35630,D000021952,DCI GROUP,dci
43,DEANFOODSCOMPANY,35551051.38,986638670,598,3474.822065,669404165.7,1,DEAN FOODS COMPANY,PARTNERSHIP,OTHER THAN SMALL BUSINESS,2008,dean foods,11573,40%,60%,,,2008,"$284,325 ","$122,295 ","$595,000 ","$432,520 ",$0 ,$0 ,"$717,895 ",33224,D000021651,DEAN FOODS,dean foods
44,DEERECOMPANY,11464734.07,11464734.07,39,36092.03333,264544015.3,1,DEERE & COMPANY,,OTHER THAN SMALL BUSINESS,2008,deere,4385,36%,64%,,,2008,"$232,130 ","$76,336 ","$566,000 ","$410,206 ",$0 ,$0 ,"$642,336 ",4793,D000000408,DEERE & CO,deere
45,DELOITTELLP,45695603948,46014987849,325,5095.222286,1469757906,1,DELOITTE LLP,,OTHER THAN SMALL BUSINESS,2008,deloitte,1141,49%,51%,,,2008,"$1,551,603 ","$1,091,838 ","$2,094,500 ","$1,629,535 ",$0 ,$0 ,"$3,188,408 ",1272,D000000131,DELOITTE LLP,deloitte
46,DEUTSCHEPOSTAG,104302512.5,104407512.5,6,3544,490000,1,DEUTSCHE POST AG,,OTHER THAN SMALL BUSINESS,2008,deutsche post ag,27513,28%,33%,,,2008,"$17,284 ","$20,185 ","$17,500 ","$20,401 ",$0 ,$0 ,"$62,685 ",52993,D000025481,DEUTSCHE POST AG,deutsche post ag
47,DOMINIONRESOURCESINC,116768387.3,117416685.5,16,10004.11765,5429084253,1,DOMINION RESOURCES  INC.,,OTHER THAN SMALL BUSINESS,2008,dominion resources,3551,46%,54%,,,2008,"$395,159 ","$315,610 ","$553,524 ","$471,475 ",$0 ,$0 ,"$869,284 ",3886,D000000335,DOMINION RESOURCES,dominion resources
48,DUKEENERGYCORPORATION,880247.92,880247.92,4,14581,8000000000,1,DUKE ENERGY CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,duke energy,5224,37%,61%,,,2008,"$318,497 ","$198,130 ","$654,500 ","$533,833 ",$0 ,$0 ,"$872,630 ",5701,D000000477,DUKE ENERGY,duke energy
49,DYNAMICSRESEARCHCORPORATION,34253539.2,34416453.17,39,1070.155556,110673686,1,DYNAMICS RESEARCH CORPORATION,,SMALL BUSINESS,2008,dynamics research,27960,14%,86%,,,2008,"$2,750 ","$12,400 ","$7,750 ","$17,400 ",$0 ,$0 ,"$20,150 ",53570,D000025611,DYNAMICS RESEARCH CORP,dynamics research
50,DYNETICSINC,9826266.25,9826266.25,1027,1296.080659,381267558.1,1,"DYNETICS, INC.",,SMALL BUSINESS,2008,dynetics,27989,8%,92%,,,2008,"$8,000 ","$38,900 ","$62,300 ","$93,200 ",$0 ,$0 ,"$101,200 ",53602,D000025614,DYNETICS INC,dynetics
51,EATONCORPORATION,5856741.68,62431618.48,193,15383.20415,2192785433,1,EATON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,eaton,28045,27%,73%,,,2008,"$35,850 ","$109,932 ","$21,600 ","$95,682 ",$0 ,$0 ,"$131,532 ",53667,D000025623,EATON CORP,eaton
52,EDISONINTERNATIONAL,7515441.32,7515441.32,3,6500,4000000000,1,EDISON INTERNATIONAL,,OTHER THAN SMALL BUSINESS,2008,edison,2476,50%,50%,,,2008,"$316,852 ","$100,502 ","$538,200 ","$321,450 ",$0 ,$0 ,"$638,702 ",2715,D000000239,EDISON INTERNATIONAL,edison
53,ELBITSYSTEMSLTD,1379417.14,2685157.14,142,539.3317308,49529660.98,1,ELBIT SYSTEMS LTD,,OTHER THAN SMALL BUSINESS,2008,elbit systems,2537,47%,53%,,,2008,"$4,500 ","$1,000 ","$8,500 ","$5,000 ",$0 ,$0 ,"$9,500 ",3248,D000043128,ELBIT SYSTEMS,elbit systems
54,ENERSYS,27662.5,27662.5,4,7750,725000005,1,ENERSYS,,OTHER THAN SMALL BUSINESS,2008,enersys,9432,51%,49%,,,2008,"$5,250 ",$250 ,"$10,000 ","$5,000 ",$0 ,$0 ,"$10,250 ",23622,D000014190,ENERSYS,enersys
55,ENSIGNBICKFORDINDUSTRIESINC,29979001.44,29979001.44,45,453.6458333,93066200,1,ENSIGN-BICKFORD INDUSTRIES  INC.,,SMALL BUSINESS,2008,ensignbickford industries,28315,73%,27%,,,2008,"$9,350 ","$9,350 ","$3,500 ","$3,500 ",$0 ,$0 ,"$12,850 ",54008,D000025694,ENSIGN-BICKFORD INDUSTRIES,ensignbickford industries
56,ENVIRONMENTALCHEMICALCORPORATION,10425827.35,10425827.35,575,318.6081046,261331428.4,1,ENVIRONMENTAL CHEMICAL CORPORATION,,SMALL BUSINESS,2008,environmental chemical,28365,100%,0%,,,2008,"$1,750 ",$0 ,"$1,750 ",$0 ,$0 ,$0 ,"$1,750 ",54069,D000025705,ENVIRONMENTAL CHEMICAL CORP,environmental chemical
57,EPSILONSYSTEMSSOLUTIONSINC,78281722.02,194558415,1489,429.384269,55832149.49,1,"EPSILON SYSTEMS SOLUTIONS, INC.",,OTHER THAN SMALL BUSINESS,2008,epsilon systems solutions,28384,31%,69%,,,2008,"$7,730 ","$18,030 ","$6,650 ","$16,950 ",$0 ,$0 ,"$24,680 ",54093,D000025710,EPSILON SYSTEMS SOLUTIONS,epsilon systems solutions
58,ERNSTYOUNGLLP,61647083.46,101595374,117,17277.05628,2629870130,1,ERNST & YOUNG LLP,,OTHER THAN SMALL BUSINESS,2008,ernst young,698,44%,56%,,,2008,"$1,164,521 ","$1,521,924 ","$1,100,753 ","$1,456,656 ",$0 ,$0 ,"$2,622,927 ",796,D000000098,ERNST & YOUNG,ernst young
59,EXELONCORPORATION,6018505.61,6020605.56,3,6300,3249999854,1,EXELON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,exelon,3954,55%,44%,,,2008,"$886,772 ","$667,347 ","$932,199 ","$702,524 ",$0 ,$0 ,"$1,599,546 ",4322,D000000368,EXELON CORP,exelon
60,EXPRESSSCRIPTSINC,6509383884,6515477384,10,11070,17673699664,1,EXPRESS SCRIPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,express scripts,13923,63%,36%,,,2008,"$257,566 ","$115,377 ","$290,500 ","$148,311 ",$0 ,$0 ,"$408,377 ",35899,D000021977,EXPRESS SCRIPTS,express scripts
61,FEDEXCORPORATION,14513319.04,14231148.04,1188,191379.1362,5321525872,1,FEDEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fedex,577,41%,58%,,,2008,"$904,491 ","$232,681 ","$1,950,000 ","$1,271,984 ",$0 ,$0 ,"$2,182,681 ",666,D000000089,FEDEX CORP,fedex
62,FLIRSYSTEMSINC,7225532,7225532,72,782.1666667,58200456.98,1,"FLIR SYSTEMS, INC.",,OTHER THAN SMALL BUSINESS,2008,flir systems,29075,31%,69%,,,2008,"$14,850 ","$37,625 ","$10,500 ","$33,275 ",$0 ,$0 ,"$48,125 ",54914,D000025840,FLIR SYSTEMS,flir systems
63,FLORIDATURBINETECHNOLOGIESINC,2945731,2945731,237,128.3333333,17220000,1,FLORIDA TURBINE TECHNOLOGIES INC.,,SMALL BUSINESS,2008,florida turbine technologies,29197,89%,11%,,,2008,"$65,000 ","$57,100 ","$16,000 ","$8,100 ",$0 ,$0 ,"$73,100 ",55057,D000025861,FLORIDA TURBINE TECHNOLOGIES,florida turbine technologies
64,FLOWERSFOODSINC,15615099.18,667347700.3,133,2700.112213,226182233.8,1,FLOWERS FOODS  INC.,,OTHER THAN SMALL BUSINESS,2008,flowers foods,4056,0%,93%,,,2008,$0 ,"$68,800 ","$245,000 ","$313,800 ",$0 ,$0 ,"$338,050 ",4433,D000000377,FLOWERS FOODS,flowers foods
65,FLUORCORPORATION,836407234.5,20836407235,7557,1989.82646,4446970.205,1,FLUOR CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fluor,2896,44%,55%,,,2008,"$261,066 ","$115,993 ","$467,245 ","$326,172 ",$0 ,"$5,000 ","$588,238 ",3173,D000000277,FLUOR CORP,fluor
66,G4SPLC,496949029.3,206144359.5,438,10272.68616,456503385.2,1,G4S PLC,,OTHER THAN SMALL BUSINESS,2008,g4s,30340,32%,68%,,,2008,"$6,750 ","$6,250 ","$14,750 ","$14,250 ",$0 ,$0 ,"$21,000 ",56681,D000026342,G4S PLC,g4s
67,GENCORPINC,10450083,10450083,4,3087,675000000,1,GENCORP INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,gencorp,29746,52%,48%,,,2008,"$59,950 ","$18,500 ","$96,150 ","$54,700 ",$0 ,$0 ,"$114,650 ",55919,D000026174,GENCORP INC,gencorp
68,GENERALDYNAMICSCORPORATION,8137704270,16700006659,9712,40114.20676,11062870714,1,GENERAL DYNAMICS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,general dynamics,1612,56%,44%,,,2008,"$1,173,500 ","$606,957 ","$1,474,300 ","$906,007 ",$0 ,$0 ,"$2,083,663 ",1777,D000000165,GENERAL DYNAMICS,general dynamics
69,GENERALELECTRICCOMPANY,43749839.86,44627001.86,543,12610455.39,70358556081,1,GENERAL ELECTRIC COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,general electric,1054,64%,36%,,,2008,"$2,670,029 ","$2,099,602 ","$2,057,050 ","$1,484,161 ",$0 ,$0 ,"$4,159,857 ",1179,D000000125,GENERAL ELECTRIC,general electric
71,GENERALMILLSINC,200017932.4,286882472.8,18,2916.666667,0,1,GENERAL MILLS  INC.,,OTHER THAN SMALL BUSINESS,2008,general mills,5077,51%,49%,,,2008,"$215,017 ","$188,532 ","$230,000 ","$203,515 ",$0 ,$0 ,"$418,732 ",5544,D000000467,GENERAL MILLS,general mills
72,GENTEXCORPORATION,111234.53,1360132.53,50,801.0763889,75329116.06,1,GENTEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,gentex,88645,47%,53%,,,2008,"$19,000 ","$3,000 ","$37,700 ","$21,700 ",$0 ,$0 ,"$40,700 ",110762,D000068698,GENTEX,gentex
73,GLAXOSMITHKLINEPLC,125083055.8,12536886064,81,70015.26818,13967269822,1,GLAXOSMITHKLINE PLC,,OTHER THAN SMALL BUSINESS,2008,glaxosmithkline,1173,39%,61%,,,2008,"$679,097 ","$275,373 ","$1,443,420 ","$1,048,696 ",$0 ,$0 ,"$1,729,243 ",1306,D000000133,GLAXOSMITHKLINE,glaxosmithkline
74,GREATLAKESDREDGEDOCKCORPORATION,23746866.35,23746866.35,5,900,397108992,1,GREAT LAKES DREDGE & DOCK CORPORATION,OTHER,OTHER THAN SMALL BUSINESS,2008,great lakes dredge dock,30187,53%,47%,,,2008,"$15,250 ","$5,200 ","$23,350 ","$13,300 ",$0 ,$0 ,"$28,550 ",56481,D000026295,GREAT LAKES DREDGE & DOCK,great lakes dredge dock
75,GROUPWINC,29073148.63,29073150.79,16,9.666666667,0,1,GROUP W INC.,,OTHER THAN SMALL BUSINESS,2008,w,30356,83%,17%,,,2008,"$5,000 ",$500 ,"$5,500 ","$1,000 ",$0 ,$0 ,"$6,000 ",56699,D000026344,GROUP W INC,w
76,HARRISCORPORATION,2581465845,6153156649,1151,2018.266522,410730081.6,1,HARRIS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,harris,4257,42%,57%,,,2008,"$197,995 ","$94,106 ","$375,500 ","$268,656 ",$0 ,$0 ,"$469,901 ",4652,D000000395,HARRIS CORP,harris
77,HDRINC,12883313162,23817655292,1354,3769.022527,568603311.3,1,H.D.R. INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,hdr,14401,52%,48%,,,2008,"$140,611 ","$52,050 ","$219,411 ","$130,850 ",$0 ,$0 ,"$271,991 ",36421,D000022021,HDR INC,hdr
78,HERSHEYCOMPANY,30636699.59,116052619.5,18,1862.5,0,1,HERSHEY COMPANY,,OTHER THAN SMALL BUSINESS,2008,hershey,30761,51%,49%,,,2008,"$10,450 ","$1,200 ","$19,250 ","$10,000 ",$0 ,$0 ,"$20,450 ",57230,D000026470,HERSHEY CO,hershey
79,HEWLETTPACKARDCOMPANY,67295239.29,71211665.18,3976,176715.8337,63470564089,1,HEWLETT-PACKARD COMPANY,,OTHER THAN SMALL BUSINESS,2008,hewlettpackard,7810,58%,41%,,,2008,"$826,737 ","$753,356 ","$634,300 ","$578,609 ",$0 ,$0 ,"$1,418,031 ",8526,D000000716,HEWLETT-PACKARD,hewlettpackard
