,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,% to Dems,% to Repubs,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,org_id,org_name,org_name_clean
10,ARAMARKHOLDINGSCORPORATION,16631.91,4948631.91,10,4590,101666668,1,ARAMARK HOLDINGS CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,aramark,42%,58%,2008,"$60,281 ","$94,906 ","$49,800 ","$84,225 ",$0,$0,"$144,706 ",D000024107,ARAMARK CORP,aramark
11,ARCADISNV,11441234,12948495,1072,954.025,130727130.1,1,ARCADIS N.V.,,OTHER THAN SMALL BUSINESS,2008,arcadis nv,62%,38%,2008,"$52,000 ","$10,000 ","$74,250 ","$32,250 ",$0,$0,"$84,250 ",D000066743,ARCADIS NV,arcadis nv
12,ATTINC,16463392255,16463543281,3636,33189.1561,59161533669,1,AT&T INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,att,46%,54%,2008,"$2,591,426 ","$1,386,956 ","$4,267,700 ","$3,055,524 ",$0,"$12,500 ","$5,687,281 ",D000000076,AT&T INC,att
13,BAESYSTEMSPLC,36999111011,73069278710,6465,104194.2896,5382092651,1,BAE SYSTEMS PLC,,OTHER THAN SMALL BUSINESS,2008,bae systems,42%,58%,2008,"$553,521 ","$304,038 ","$1,006,676 ","$756,743 ",$0,$0,"$1,310,924 ",D000000583,BAE SYSTEMS,bae systems
14,BALLCORPORATION,74742532.98,74744322.1,1373,1382.189192,222341188.8,1,BALL CORPORATION,,OTHER THAN SMALL BUSINESS,2008,ball,52%,48%,2008,"$92,322 ","$46,394 ","$130,000 ","$84,072 ",$0,$0,"$176,394 ",D000024239,BALL CORP,ball
15,BAXTERINTERNATIONALINC,5560,5560,2,22625,1300000000,1,BAXTER INTERNATIONAL INC.,,OTHER THAN SMALL BUSINESS,2008,baxter,53%,47%,2008,"$156,600 ","$94,438 ","$199,000 ","$136,570 ",$0,$0,"$293,438 ",D000000643,BAXTER INTERNATIONAL,baxter
16,BAYERAG,4540,4540,2,593,175500000,1,BAYER AG,,OTHER THAN SMALL BUSINESS,2008,bayer ag,42%,58%,2008,"$145,578 ","$73,525 ","$271,500 ","$199,197 ",$0,$0,"$345,525 ",D000042363,BAYER AG,bayer ag
17,BEARINGPOINTINC,254057846.3,401972305.6,972,2467.355865,170277977.3,1,"BEARINGPOINT, INC.",,OTHER THAN SMALL BUSINESS,2008,bearingpoint,54%,46%,2008,"$154,179 ","$126,858 ","$159,500 ","$131,679 ",$0,$0,"$286,358 ",D000024292,BEARINGPOINT INC,bearingpoint
18,BERKSHIREHATHAWAYINC,1051463185,2483374363,110,21844.58974,6709427236,1,BERKSHIRE HATHAWAY INC.,,OTHER THAN SMALL BUSINESS,2008,berkshire hathaway,33%,67%,2008,"$244,259 ","$559,754 ","$187,299 ","$502,569 ",$0,$0,"$749,211 ",D000021757,BERKSHIRE HATHAWAY,berkshire hathaway
19,BOSTONSCIENTIFICCORPORATION,1018702,1018702,4,8333.333333,977666666.7,1,BOSTON SCIENTIFIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,boston scientific,39%,61%,2008,"$204,738 ","$255,733 ","$267,580 ","$318,575 ",$0,$0,"$523,313 ",D000021878,BOSTON SCIENTIFIC CORP,boston scientific
20,BRUNSWICKCORPORATION,474205.58,474205.58,63,4154.727778,3455533883,1,BRUNSWICK CORPORATION,,OTHER THAN SMALL BUSINESS,2008,brunswick,30%,70%,2008,"$36,580 ","$10,682 ","$110,500 ","$84,602 ",$0,$0,"$121,432 ",D000024496,BRUNSWICK CORP,brunswick
21,BURNSMCDONNELLINC,30883662,30883662,50,0,0,1,BURNS & MCDONNELL  INC.,,OTHER THAN SMALL BUSINESS,2008,burns mcdonnell,55%,46%,2008,"$31,325 ","$11,005 ","$46,500 ","$26,180 ",$0,$0,"$57,522 ",D000024518,BURNS & MCDONNELL,burns mcdonnell
22,BUTTERBALLLLC,26024633.74,219357529.5,40,5725.714286,1161428571,1,BUTTERBALL  LLC,,OTHER THAN SMALL BUSINESS,2008,butterball,83%,17%,2008,"$9,700 ","$2,000 ","$9,700 ","$2,000 ",$0,$0,"$11,700 ",D000024529,BUTTERBALL LLC,butterball
23,CAMPBELLSOUPCOMPANY,76744092.18,214268832.2,40,1943.782051,157692307.7,1,CAMPBELL SOUP COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,campbell soup,42%,57%,2008,"$35,407 ","$33,732 ","$50,619 ","$48,444 ",$0,$0,"$85,351 ",D000024598,CAMPBELL SOUP,campbell soup
24,CARDINALHEALTHINC,309109883.7,309109883.7,68146,10131.84834,2016837658,1,CARDINAL HEALTH  INC.,,OTHER THAN SMALL BUSINESS,2008,cardinal health,48%,52%,2008,"$126,151 ","$55,386 ","$206,500 ","$135,735 ",$0,$0,"$262,027 ",D000021892,CARDINAL HEALTH,cardinal health
25,CATERPILLARINC,144445108.5,144445108.5,4079,57478.96144,15426446081,1,CATERPILLAR INC.,,OTHER THAN SMALL BUSINESS,2008,caterpillar,26%,74%,2008,"$220,374 ","$224,021 ","$634,500 ","$638,647 ",$0,$0,"$864,021 ",D000000352,CATERPILLAR INC,caterpillar
26,CENTERPOINTENERGYINC,2227051.46,2227051.46,2,0,0,1,CENTERPOINT ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,centerpoint energy,33%,67%,2008,"$76,398 ","$110,818 ","$119,872 ","$154,292 ",$0,$0,"$230,890 ",D000024672,CENTERPOINT ENERGY,centerpoint energy
27,CENTURYLINKINC,331287.69,331287.69,17,13522.0125,3751937684,1,CENTURYLINK  INC.,,OTHER THAN SMALL BUSINESS,2008,centurylink,43%,57%,2008,"$55,500 ","$50,300 ","$80,000 ","$74,800 ",$0,$0,"$130,300 ",D000024683,CENTURYLINK,centurylink
28,CH2MHILLCOMPANIESLTD,238759021,240216365.5,1955,10884.06169,2906705122,1,"CH2M HILL COMPANIES, LTD",,OTHER THAN SMALL BUSINESS,2008,ch2m hill,63%,37%,2008,"$439,404 ","$227,842 ","$462,746 ","$258,284 ",$0,"$8,000 ","$699,188 ",D000000492,CH2M HILL,ch2m hill
29,CHEVRONCORPORATION,70092,80092,17,20464.5,21403499782,1,CHEVRON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,chevron,25%,74%,2008,"$291,851 ","$557,092 ","$583,850 ","$847,341 ",$0,$0,"$1,151,342 ",D000000015,CHEVRON,chevron
30,CISCOSYSTEMSINC,6228453.03,6434245.03,123,1688,719000000,1,CISCO SYSTEMS  INC.,,OTHER THAN SMALL BUSINESS,2008,cisco systems,65%,35%,2008,"$1,043,098 ","$1,079,854 ","$527,500 ","$561,506 ",$0,$0,"$1,607,354 ",D000000374,CISCO SYSTEMS,cisco systems
31,CITIGROUPINC,135474211.6,176575965.6,275,8065.598378,56643604231,1,CITIGROUP INC.,,OTHER THAN SMALL BUSINESS,2008,citigroup,62%,38%,2008,"$3,368,769 ","$4,421,362 ","$982,799 ","$2,039,392 ","$5,000 ","$4,000 ","$5,432,586 ",D000000071,CITIGROUP INC,citigroup
32,COBHAMPLC,5074510.72,5074510.72,92,5734.666667,578133339,1,COBHAM PLC,,OTHER THAN SMALL BUSINESS,2008,cobham,34%,65%,2008,"$35,971 ","$37,391 ","$67,100 ","$68,270 ",$0,$0,"$104,491 ",D000049451,COBHAM HOLDINGS,cobham
33,COCACOLAENTERPRISESINC,30466573.8,894381445.6,183,4796.71322,365808275.8,1,COCA-COLA ENTERPRISES INC.,,OTHER THAN SMALL BUSINESS,2008,cocacola enterprises,41%,59%,2008,"$130,879 ","$52,029 ","$268,500 ","$189,650 ",$0,$0,"$320,529 ",D000065473,COCA-COLA ENTERPRISES,cocacola enterprises
34,COLLEGEOFAMERICANPATHOLOGISTS,6293,6293,1,658,210350967,1,COLLEGE OF AMERICAN PATHOLOGISTS,,OTHER THAN SMALL BUSINESS,2008,college american pathologists,53%,47%,2008,"$539,119 ","$1,992 ","$1,019,126 ","$481,999 ",$0,$0,"$1,021,118 ",D000000540,COLLEGE OF AMERICAN PATHOLOGISTS,college american pathologists
35,CONSOLIDATEDEDISONINC,948384.42,1144768.42,1,13953,96,1,CONSOLIDATED EDISON  INC.,,OTHER THAN SMALL BUSINESS,2008,consolidated edison,86%,14%,2008,"$52,375 ","$44,426 ","$16,750 ","$8,801 ",$0,$0,"$61,176 ",D000025111,CONSOLIDATED EDISON INC,consolidated edison
36,CRHPLC,316797.5,316797.5,2,230,130000000,1,CRH PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,crh,52%,48%,2008,"$257,590 ","$9,490 ","$487,100 ","$238,500 ",$0,$0,"$496,590 ",D000066815,CRH PLC,crh
37,CSLLIMITED,79124.28,79124.28,1,4500,725600000,1,CSL LIMITED,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,csl,33%,68%,2008,"$7,450 ","$5,150 ","$17,750 ","$15,450 ",$0,$0,"$22,900 ",D000025196,CSL LTD,csl
38,CUBICCORPORATION,9926491.97,9926491.97,467,449.3176771,23266874.86,1,CUBIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,cubic,16%,84%,2008,"$41,150 ","$136,050 ","$125,400 ","$220,300 ",$0,$0,"$261,450 ",D000021944,CUBIC CORP,cubic
39,CUMMINSINC,49629263.15,50287184.28,44,1558.393333,57928342.97,1,CUMMINS INC.,OTHER,OTHER THAN SMALL BUSINESS,2008,cummins,56%,44%,2008,"$161,300 ","$113,901 ","$175,500 ","$128,101 ",$0,$0,"$289,401 ",D000021945,CUMMINS INC,cummins
40,CURTISSWRIGHTCORPORATION,5360352.64,5360352.64,35,2545.164286,447340338.4,1,CURTISS-WRIGHT CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,curtisswright,42%,58%,2008,"$43,000 ","$6,500 ","$95,750 ","$59,250 ",$0,$0,"$102,250 ",D000025212,CURTISS-WRIGHT CORP,curtisswright
41,DCIINC,245962.56,245962.56,1005,86.66666667,10000000,1,"DCI, INC.",,SMALL BUSINESS,2008,dci,29%,71%,2008,"$82,650 ","$227,696 ","$60,250 ","$205,296 ",$0,$0,"$287,946 ",D000021952,DCI GROUP,dci
42,DEANFOODSCOMPANY,35551051.38,986638670,598,3474.822065,669404165.7,1,DEAN FOODS COMPANY,PARTNERSHIP,OTHER THAN SMALL BUSINESS,2008,dean foods,40%,60%,2008,"$284,325 ","$122,295 ","$595,000 ","$432,520 ",$0,$0,"$717,895 ",D000021651,DEAN FOODS,dean foods
43,DEERECOMPANY,11464734.07,11464734.07,39,36092.03333,264544015.3,1,DEERE & COMPANY,,OTHER THAN SMALL BUSINESS,2008,deere,36%,64%,2008,"$232,130 ","$76,336 ","$566,000 ","$410,206 ",$0,$0,"$642,336 ",D000000408,DEERE & CO,deere
44,DELOITTELLP,45695603948,46014987849,325,5095.222286,1469757906,1,DELOITTE LLP,,OTHER THAN SMALL BUSINESS,2008,deloitte,49%,51%,2008,"$1,551,603 ","$1,091,838 ","$2,094,500 ","$1,629,535 ",$0,$0,"$3,188,408 ",D000000131,DELOITTE LLP,deloitte
45,DEUTSCHEPOSTAG,104302512.5,104407512.5,6,3544,490000,1,DEUTSCHE POST AG,,OTHER THAN SMALL BUSINESS,2008,deutsche post ag,28%,33%,2008,"$17,284 ","$20,185 ","$17,500 ","$20,401 ",$0,$0,"$62,685 ",D000025481,DEUTSCHE POST AG,deutsche post ag
46,DOMINIONRESOURCESINC,116768387.3,117416685.5,16,10004.11765,5429084253,1,DOMINION RESOURCES  INC.,,OTHER THAN SMALL BUSINESS,2008,dominion resources,46%,54%,2008,"$395,159 ","$315,610 ","$553,524 ","$471,475 ",$0,$0,"$869,284 ",D000000335,DOMINION RESOURCES,dominion resources
47,DUKEENERGYCORPORATION,880247.92,880247.92,4,14581,8000000000,1,DUKE ENERGY CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,duke energy,37%,61%,2008,"$318,497 ","$198,130 ","$654,500 ","$533,833 ",$0,$0,"$872,630 ",D000000477,DUKE ENERGY,duke energy
48,DYNAMICSRESEARCHCORPORATION,34253539.2,34416453.17,39,1070.155556,110673686,1,DYNAMICS RESEARCH CORPORATION,,SMALL BUSINESS,2008,dynamics research,14%,86%,2008,"$2,750 ","$12,400 ","$7,750 ","$17,400 ",$0,$0,"$20,150 ",D000025611,DYNAMICS RESEARCH CORP,dynamics research
49,DYNETICSINC,9826266.25,9826266.25,1027,1296.080659,381267558.1,1,"DYNETICS, INC.",,SMALL BUSINESS,2008,dynetics,8%,92%,2008,"$8,000 ","$38,900 ","$62,300 ","$93,200 ",$0,$0,"$101,200 ",D000025614,DYNETICS INC,dynetics
50,EATONCORPORATION,5856741.68,62431618.48,193,15383.20415,2192785433,1,EATON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,eaton,27%,73%,2008,"$35,850 ","$109,932 ","$21,600 ","$95,682 ",$0,$0,"$131,532 ",D000025623,EATON CORP,eaton
51,EDISONINTERNATIONAL,7515441.32,7515441.32,3,6500,4000000000,1,EDISON INTERNATIONAL,,OTHER THAN SMALL BUSINESS,2008,edison,50%,50%,2008,"$316,852 ","$100,502 ","$538,200 ","$321,450 ",$0,$0,"$638,702 ",D000000239,EDISON INTERNATIONAL,edison
52,ELBITSYSTEMSLTD,1379417.14,2685157.14,142,539.3317308,49529660.98,1,ELBIT SYSTEMS LTD,,OTHER THAN SMALL BUSINESS,2008,elbit systems,47%,53%,2008,"$4,500 ","$1,000 ","$8,500 ","$5,000 ",$0,$0,"$9,500 ",D000043128,ELBIT SYSTEMS,elbit systems
53,ENERSYS,27662.5,27662.5,4,7750,725000005,1,ENERSYS,,OTHER THAN SMALL BUSINESS,2008,enersys,51%,49%,2008,"$5,250 ",$250,"$10,000 ","$5,000 ",$0,$0,"$10,250 ",D000014190,ENERSYS,enersys
54,ENSIGNBICKFORDINDUSTRIESINC,29979001.44,29979001.44,45,453.6458333,93066200,1,ENSIGN-BICKFORD INDUSTRIES  INC.,,SMALL BUSINESS,2008,ensignbickford industries,73%,27%,2008,"$9,350 ","$9,350 ","$3,500 ","$3,500 ",$0,$0,"$12,850 ",D000025694,ENSIGN-BICKFORD INDUSTRIES,ensignbickford industries
55,ENVIRONMENTALCHEMICALCORPORATION,10425827.35,10425827.35,575,318.6081046,261331428.4,1,ENVIRONMENTAL CHEMICAL CORPORATION,,SMALL BUSINESS,2008,environmental chemical,100%,0%,2008,"$1,750 ",$0,"$1,750 ",$0,$0,$0,"$1,750 ",D000025705,ENVIRONMENTAL CHEMICAL CORP,environmental chemical
56,EPSILONSYSTEMSSOLUTIONSINC,78281722.02,194558415,1489,429.384269,55832149.49,1,"EPSILON SYSTEMS SOLUTIONS, INC.",,OTHER THAN SMALL BUSINESS,2008,epsilon systems solutions,31%,69%,2008,"$7,730 ","$18,030 ","$6,650 ","$16,950 ",$0,$0,"$24,680 ",D000025710,EPSILON SYSTEMS SOLUTIONS,epsilon systems solutions
57,ERNSTYOUNGLLP,61647083.46,101595374,117,17277.05628,2629870130,1,ERNST & YOUNG LLP,,OTHER THAN SMALL BUSINESS,2008,ernst young,44%,56%,2008,"$1,164,521 ","$1,521,924 ","$1,100,753 ","$1,456,656 ",$0,$0,"$2,622,927 ",D000000098,ERNST & YOUNG,ernst young
58,EXELONCORPORATION,6018505.61,6020605.56,3,6300,3249999854,1,EXELON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,exelon,55%,44%,2008,"$886,772 ","$667,347 ","$932,199 ","$702,524 ",$0,$0,"$1,599,546 ",D000000368,EXELON CORP,exelon
59,EXPRESSSCRIPTSINC,6509383884,6515477384,10,11070,17673699664,1,EXPRESS SCRIPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,express scripts,63%,36%,2008,"$257,566 ","$115,377 ","$290,500 ","$148,311 ",$0,$0,"$408,377 ",D000021977,EXPRESS SCRIPTS,express scripts
60,FEDEXCORPORATION,14513319.04,14231148.04,1188,191379.1362,5321525872,1,FEDEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fedex,41%,58%,2008,"$904,491 ","$232,681 ","$1,950,000 ","$1,271,984 ",$0,$0,"$2,182,681 ",D000000089,FEDEX CORP,fedex
61,FLIRSYSTEMSINC,7225532,7225532,72,782.1666667,58200456.98,1,"FLIR SYSTEMS, INC.",,OTHER THAN SMALL BUSINESS,2008,flir systems,31%,69%,2008,"$14,850 ","$37,625 ","$10,500 ","$33,275 ",$0,$0,"$48,125 ",D000025840,FLIR SYSTEMS,flir systems
62,FLORIDATURBINETECHNOLOGIESINC,2945731,2945731,237,128.3333333,17220000,1,FLORIDA TURBINE TECHNOLOGIES INC.,,SMALL BUSINESS,2008,florida turbine technologies,89%,11%,2008,"$65,000 ","$57,100 ","$16,000 ","$8,100 ",$0,$0,"$73,100 ",D000025861,FLORIDA TURBINE TECHNOLOGIES,florida turbine technologies
63,FLOWERSFOODSINC,15615099.18,667347700.3,133,2700.112213,226182233.8,1,FLOWERS FOODS  INC.,,OTHER THAN SMALL BUSINESS,2008,flowers foods,0%,93%,2008,$0,"$68,800 ","$245,000 ","$313,800 ",$0,$0,"$338,050 ",D000000377,FLOWERS FOODS,flowers foods
64,FLUORCORPORATION,836407234.5,20836407235,7557,1989.82646,4446970.205,1,FLUOR CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fluor,44%,55%,2008,"$261,066 ","$115,993 ","$467,245 ","$326,172 ",$0,"$5,000 ","$588,238 ",D000000277,FLUOR CORP,fluor
65,G4SPLC,496949029.3,206144359.5,438,10272.68616,456503385.2,1,G4S PLC,,OTHER THAN SMALL BUSINESS,2008,g4s,32%,68%,2008,"$6,750 ","$6,250 ","$14,750 ","$14,250 ",$0,$0,"$21,000 ",D000026342,G4S PLC,g4s
66,GENCORPINC,10450083,10450083,4,3087,675000000,1,GENCORP INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,gencorp,52%,48%,2008,"$59,950 ","$18,500 ","$96,150 ","$54,700 ",$0,$0,"$114,650 ",D000026174,GENCORP INC,gencorp
67,GENERALDYNAMICSCORPORATION,8137704270,16700006659,9712,40114.20676,11062870714,1,GENERAL DYNAMICS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,general dynamics,56%,44%,2008,"$1,173,500 ","$606,957 ","$1,474,300 ","$906,007 ",$0,$0,"$2,083,663 ",D000000165,GENERAL DYNAMICS,general dynamics
68,GENERALELECTRICCOMPANY,43749839.86,44627001.86,543,12610455.39,70358556081,1,GENERAL ELECTRIC COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,general electric,64%,36%,2008,"$2,670,029 ","$2,099,602 ","$2,057,050 ","$1,484,161 ",$0,$0,"$4,159,857 ",D000000125,GENERAL ELECTRIC,general electric
69,GENERALMILLSINC,200017932.4,286882472.8,18,2916.666667,0,1,GENERAL MILLS  INC.,,OTHER THAN SMALL BUSINESS,2008,general mills,51%,49%,2008,"$215,017 ","$188,532 ","$230,000 ","$203,515 ",$0,$0,"$418,732 ",D000000467,GENERAL MILLS,general mills
70,GENTEXCORPORATION,111234.53,1360132.53,50,801.0763889,75329116.06,1,GENTEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,gentex,47%,53%,2008,"$19,000 ","$3,000 ","$37,700 ","$21,700 ",$0,$0,"$40,700 ",D000068698,GENTEX,gentex
71,GLAXOSMITHKLINEPLC,125083055.8,12536886064,81,70015.26818,13967269822,1,GLAXOSMITHKLINE PLC,,OTHER THAN SMALL BUSINESS,2008,glaxosmithkline,39%,61%,2008,"$679,097 ","$275,373 ","$1,443,420 ","$1,048,696 ",$0,$0,"$1,729,243 ",D000000133,GLAXOSMITHKLINE,glaxosmithkline
72,GREATLAKESDREDGEDOCKCORPORATION,23746866.35,23746866.35,5,900,397108992,1,GREAT LAKES DREDGE & DOCK CORPORATION,OTHER,OTHER THAN SMALL BUSINESS,2008,great lakes dredge dock,53%,47%,2008,"$15,250 ","$5,200 ","$23,350 ","$13,300 ",$0,$0,"$28,550 ",D000026295,GREAT LAKES DREDGE & DOCK,great lakes dredge dock
73,GROUPWINC,29073148.63,29073150.79,16,9.666666667,0,1,GROUP W INC.,,OTHER THAN SMALL BUSINESS,2008,w,83%,17%,2008,"$5,000 ",$500,"$5,500 ","$1,000 ",$0,$0,"$6,000 ",D000026344,GROUP W INC,w
74,HARRISCORPORATION,2581465845,6153156649,1151,2018.266522,410730081.6,1,HARRIS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,harris,42%,57%,2008,"$197,995 ","$94,106 ","$375,500 ","$268,656 ",$0,$0,"$469,901 ",D000000395,HARRIS CORP,harris
75,HDRINC,12883313162,23817655292,1354,3769.022527,568603311.3,1,H.D.R. INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,hdr,52%,48%,2008,"$140,611 ","$52,050 ","$219,411 ","$130,850 ",$0,$0,"$271,991 ",D000022021,HDR INC,hdr
76,HERSHEYCOMPANY,30636699.59,116052619.5,18,1862.5,0,1,HERSHEY COMPANY,,OTHER THAN SMALL BUSINESS,2008,hershey,51%,49%,2008,"$10,450 ","$1,200 ","$19,250 ","$10,000 ",$0,$0,"$20,450 ",D000026470,HERSHEY CO,hershey
77,HEWLETTPACKARDCOMPANY,67295239.29,71211665.18,3976,176715.8337,63470564089,1,HEWLETT-PACKARD COMPANY,,OTHER THAN SMALL BUSINESS,2008,hewlettpackard,58%,41%,2008,"$826,737 ","$753,356 ","$634,300 ","$578,609 ",$0,$0,"$1,418,031 ",D000000716,HEWLETT-PACKARD,hewlettpackard
78,HILLROMHOLDINGSINC,6578246.12,4405094.12,11,3472,770000000,1,HILL-ROM HOLDINGS  INC.,,OTHER THAN SMALL BUSINESS,2008,hillrom,38%,62%,2008,"$11,350 ","$24,070 ","$5,500 ","$18,220 ",$0,$0,"$29,570 ",D000026480,HILL-ROM HOLDINGS,hillrom
79,HONEYWELLINTERNATIONALINC,4977940662,14462742864,942,15305.62165,1689360941,1,HONEYWELL INTERNATIONAL INC.,,OTHER THAN SMALL BUSINESS,2008,honeywell,52%,48%,2008,"$1,736,603 ","$274,847 ","$3,082,116 ","$1,617,110 ",$0,$0,"$3,357,775 ",D000000334,HONEYWELL INTERNATIONAL,honeywell
80,HUMANAINC,2324687,2324687,4,720,1051143701,1,HUMANA INC.,,OTHER THAN SMALL BUSINESS,2008,humana,37%,62%,2008,"$231,875 ","$178,900 ","$441,050 ","$386,350 ",$0,$0,"$619,950 ",D000000652,HUMANA INC,humana
81,ILLINOISTOOLWORKSINC,44642.5,44642.5,6,41625,6402524308,1,ILLINOIS TOOL WORKS INC.,,SMALL BUSINESS,2008,illinois tool works,7%,94%,2008,"$15,550 ","$27,000 ","$194,000 ","$225,450 ","$20,000 ",$0,"$241,050 ",D000022038,ILLINOIS TOOL WORKS,illinois tool works
82,ITTCORPORATION,16091454658,23300094122,1999,8140.700809,642841696.1,1,ITT CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,itt,70%,30%,2008,"$137,172 ","$79,555 ","$117,057 ","$59,155 ",$0,$0,"$196,612 ",D000000800,ITT CORP,itt
83,JACOBSENGINEERINGGROUPINC,3101196682,14494366360,3920,4271.53031,128503531.7,1,JACOBS ENGINEERING GROUP INC.,,OTHER THAN SMALL BUSINESS,2008,jacobs engineering,48%,52%,2008,"$354,832 ","$59,469 ","$677,629 ","$382,266 ",$0,$0,"$737,098 ",D000000371,JACOBS ENGINEERING GROUP,jacobs engineering
